"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Securities and Exchange Commission","Agency Overall","2018","15 U.S.C. § 80a-30c","N/A","Investment Company Examination","1"
"Securities and Exchange Commission","Agency Overall","2018","15 U.S.C. § 78x(d)","N/A","Foreign Securities Authorities","1"
"Securities and Exchange Commission","Agency Overall","2018","15 U.S.C. § 78u-6","N/A","Information that could identify a whistleblower","32"
"Securities and Exchange Commission","Agency Overall","2018","42 U.S.C. § 247d-6b(d)","N/A","Information identifying the location at which materials in the stockpile under subsection (a) of this is stored","3"
"Securities and Exchange Commission","Agency Overall","2018","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","2"
"Securities and Exchange Commission","Agency Overall","2018","5 U.S.C. app. 3 § 7(b)","N/A","Names of employees who provide information or complaints to the Inspector General","7"
"Securities and Exchange Commission","Agency Overall","2018","15 U.S.C. § 80b-4","N/A","Reports by Investment Adviser","4"
"Securities and Exchange Commission","Agency Overall","2018","5 U.S.C. app. 4 § 107(a)(2) (Ethics in Gorvernment Act of 1978)","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Office for U.S. Attorneys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure information pertaining to certain government employees","1"
"Department of Homeland Security","Agency Overall","2018","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","27"
"Department of Homeland Security","Agency Overall","2018","6 U.S.C. § 121","N/A","Intelligence sources and methods","199"
"Department of Homeland Security","Agency Overall","2018","50 U.S.C. § 3024(i)(1) (formerly at 50 U.S.C. § 403-1(i)(1)) (National Security Act of 1947) (currently at 50 U.S.C. § 3024(i)(1)) (National Security Act of 1947)","CIA v. Sims, 471 U.S. 159, 167 (1985).","Intelligence sources and methods","200"
"Department of Homeland Security","Agency Overall","2018","18 U.S.C. § 3509(d) (Federal Victims' Protection and Rights Act)","Davis v. U.S. Postal Inspection Serv., No. 13-01972, 2014 WL 7014877, at *3 (D.D.C. Dec. 15, 2014).","Certain records containing identifying information pertaining to children involved in criminal proceedings","1"
"Department of Homeland Security","Agency Overall","2018","31 U.S.C. § 5319 (Bank Secrecy Act)","Turner v. Dep’t of Treasury, No. 15-00007, 2017 WL 1106030 at *7 (E.D. Cal. Mar. 23, 2017); Yunes v. DOJ, 263 F. Supp. 3d 82, 87 (D.D.C. 2017); Council on Am.-Islamic Relations, Cal. v. FBI, 749 F. Supp. 2d 1104, 1117 (S.D. Cal. 2010); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff’d on other grounds, 288 F. App’x 829 (3d Cir. 2008).","Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","15"
"Department of Homeland Security","Agency Overall","2018","5 U.S.C. app. § 107(a)(2) (Ethics in Government Act of 1978)","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Office for U.S. Attorneys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees","1"
"Department of Homeland Security","Agency Overall","2018","18 U.S.C. §§ 2510-20 (Title III of the Omnibus Crime Control and Safe Streets Act)","Payne v. DOJ, No. 96-30840, 1997 WL 450139, at *3 (5th Cir. July 11, 1997); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991).","Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","3"
"Department of Homeland Security","Agency Overall","2018","49 U.S.C. §§ 114(r), 114(s)","Skurow v. DHS, 892 F. Supp. 2d 319, 329-30 (D.D.C. 2012); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).","Information obtained or developed in carrying out security under the authority of the Aviation and Transportation Security Act or under chapter 449 of this title","5366"
"Department of Homeland Security","Agency Overall","2018","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))* (Procurement Integrity Act)","Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","10"
"Department of Homeland Security","Agency Overall","2018","8 U.S.C. § 1202(f) (Immigration and Nationality Act)","Medina-Hincapie v. Dep't of State, 700 F.2d 737, 741-42 (D.C. Cir. 1983); DeLaurentiis v. Haig, 686 F.2d 192, 194 (3d Cir. 1982); Assadi v. Dep't of State, No. 12-1111, 2014 WL 4704840, at *6 (S.D.N.Y. Sept. 19, 2014); Beltranena v. U.S. Dep't of State, 821 F. Supp. 2d 167, 177-78 (D.D.C. 2011); Badalamenti v. U.S. Dep't of State, 899 F. Supp. 542, 547 (D. Kan. 1995); Jan-Xin Zang v. FBI, 756 F. Supp. 705, 711-12 (W.D.N.Y. 1991); Smith v. DOJ, No. 81-CV-813, 1983 U.S. Dist. LEXIS 10878, at *13-14 (N.D.N.Y. Dec. 13, 1983).","Certain records pertaining to the issuance or refusal of visas to enter the United States","32480"
"Department of Homeland Security","Agency Overall","2018","Fed. R. Crim. P. 6(e),  enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Widi v. McNeil, No. 12-CV00188, 2016 WL 4394724, at *23 (D. Me. Aug 16, 2016); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records that would reveal some secret aspect pertaining to grand jury proceedings","3"
"Department of Homeland Security","Agency Overall","2018","26 U.S.C. §§ 6103, 6105 (Internal Revenue Code)","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Leonard v. U.S. Dep't of Treasury, 590 F. App'x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","2074"
"Department of Homeland Security","Agency Overall","2018","10 U.S.C. § 424","Hamdan v. DOJ, 797 F.3d 759, 776 (9th Cir. 2015); Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004).","Organization or any function of an organization, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","1"
"Department of Homeland Security","Agency Overall","2018","10 U.S.C. § 130b","Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Hiken v. DOD, 521 F. Supp. 2d 1047, 1062 (N.D. Cal. 2007); O’Keefe v. DOD, 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005).","Personally identifiable information pertaining to “any member of the armed forces assigned to an overseas unit, a sensitive unit, or a routinely deployable unit” and “any employee of the Department of Defense or of the Coast Guard whose duty station is with any such unit”","1"
"Department of Homeland Security","Agency Overall","2018","6 U.S.C  623(e)","N/A","Certain anti-terrorism information related to chemical facilities","1"
"Department of Homeland Security","Agency Overall","2018","50 U.S.C. § 3507  (formerly at 50 U.S.C. § 403g) (Central Intelligence Agency Act of 1949)","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Larson v. Dep't of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F. 3d 205 (3d Cir. 2008).","Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""","4"
"Department of Homeland Security","Agency Overall","2018","6 U.S.C. § 673(a)(1)(A)  (Protecting and Securing Chemical Facilities from Terrorist Attacks Act of 2014","N/A","Voluntarily shared critical infrastructure information","3"
"Department of Homeland Security","Agency Overall","2018","7 U.S.C. § 136i-1(b) (Federal Insecticide, Fungicide, and Rodenticide Act)","Doe v. Veneman, 380 F.3d 807, 817 (5th Cir. 2004).","“[D]ata, including the location from which the data was derived, that would directly or indirectly reveal the identity of individual producers [of certain pesticides]”","2"
"Department of Homeland Security","Agency Overall","2018","15 U.S.C. §§ 46(f), 57b-2(f) (Federal Trade Commission Act)","A. Michael’s Piano, Inc. v. FTC, 18 F.3d 138, 143-44 (2d Cir. 1994) (15 U.S.C. § 57b-2); Ctr. for Digital Democracy v. FTC, 189 F. Supp. 3d 151, 158-59 (D.D.C. 2016) (15 U.S.C. § 46(f)); Ayuda, Inc. v. FTC, 70 F. Supp. 3d 247, 278-79 (D.D.C. 2014) (15 U.S.C. § 57b-2); National Educ. Ass’n v. FTC, No. 79-959-S, 1983 WL 1883, at *1 (D. Mass. Sept. 26, 1983) (15 U.S.C. § 57b-2).","“[A]ny trade secret or any commercial or financial information which is obtained from any person and which is privileged or confidential” and certain investigative materials received by the FTC and “provided pursuant to any compulsory process under this subchapter or which is provided voluntarily in place of such compulsory process”","15"
"Department of Homeland Security","Agency Overall","2018","49 U.S.C. § 40119(b) (Federal Aviation Act)","Pub. Citizen, Inc. v. FAA, 988 F.2d 186, 194 (D.C. Cir. 1993); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).","Certain information obtained or developed in ensuring transportation security if disclosure of that information would: constitute an invasion of personal privacy, reveal a trade secret or confidential commercial or financial information, or be detrimental to transportation safety","51"
"Department of Homeland Security","Agency Overall","2018","49 U.S.C. § 1114(c) (Transportation Safety Act of 1974)","McGilvra v. NTSB, 840 F. Supp. 100, 102 (D. Colo. 1993).","Certain “cockpit voice or video recorder recording[s] or transcript[s] of communications by and between flight crew members and ground stations pertaining to [] incident[s] investigated by the [National Transportation Safety] Board”","1"
"Department of Homeland Security","Agency Overall","2018","7 U.S.C.  2276(a)(2) (Food Security Act of 1985)","Strunk v. U.S. Dept. of Interior, 752 F. Supp. 2d 39, 44-45 (D.D.C. 2010).","“[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information”","1"
"National Indian Gaming Commission","Agency Overall","2018","N/A","N/A","N/A","0"
"Office of Government Ethics","Agency Overall","2018","5 U.S.C. app. § 105","N/A","Financial disclosure reports and applications to inspect financial disclosure reports","57"
"National Commission on Military, National, and Public Service","Agency Overall","2018","N/A","N/A","N/A","0"
"National Mediation Board","Agency Overall","2018","N/A","N/A","N/A","0"
"U.S. Agency for Global Media","Agency Overall","2018","N/A","N/A","N/A","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","N/A","N/A","N/A","0"
"Consumer Financial Protection Bureau","Agency Overall","2018","5 U.S.C. app. 4 § 107(a)(2) (Ethics in Government Act of 1978)","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Office for U.S. Attorneys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees","5"
"Consumer Financial Protection Bureau","Agency Overall","2018","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))* (Procurement Integrity Act)","Legal & Safety Employer Research, Inc. v. U.S. Dep’t of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","1"
"Department of Agriculture","Agency Overall","2018","5 U.S.C. § 574(j)","N/A","Dispute Resolution Communications","3"
"Department of Agriculture","Agency Overall","2018","7 U.S.C.  § 1502(c)","N/A","Personal information provided by agricultural producer (policy information, yield data, etc.)","24"
"Department of Agriculture","Agency Overall","2018","7 U.S.C. § 2018(c)","Argus Leader Media v. USDA, 740 F.3d 1172, 1175-76 (8th Cir. 2014).","Information obtained pursuant to chapter 51 of title 7 of the United States Code, which concerns the handling of information submitted by applicants to the Supplemental Nutrition Assistance Program","2"
"Department of Agriculture","Agency Overall","2018","7 U.S.C. § 2276(a)(2) (Food Security Act of 1985)","Strunk v. U.S. Dept. of Interior, 752 F. Supp. 2d 39, 44-45 (D.D.C. 2010).","“[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information”","6"
"Department of Agriculture","Agency Overall","2018","7 U.S.C. § 8791(b)(2) (Food, Conservation, and Energy Act of 2008)","Cent. Platte Nat. Res. Dist. v. U.S. Dep’t of Agric., 643 F.3d 1142, 1147-48 (8th Cir. 2011); Ctr. for Biological Diversity v. USDA, 626 F.3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-38 (D.D.C. 2009).","“[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department” or “geospatial information . . . maintained by the Secretary about agricultural land or operations”","550"
"Department of Agriculture","Agency Overall","2018","15 U.S.C. § 3710a(c) (Federal Technology Transfer Act)","Pub. Citizen Health Research Group v. NIH, 209 F. Supp. 2d 37, 43, 51 (D.D.C. 2002); DeLorme Pub. Co., Inc. v. NOAA, 917 F. Supp. 867, 871- 72 (D. Me. 1996), appeal dismissed per stipulation, No. 96-1601 (1st Cir. July 8, 1996).","“[T]rade secrets or commercial or financial information that is privileged or confidential, under the meaning of section 552(b)(4) of Title 5, which is obtained in the conduct of research or as a result of activities under this chapter,” which pertains to cooperative research and development agreements for the purpose of technological and industrial innovation","3"
"Department of Agriculture","Agency Overall","2018","16 U.S.C. § 470hh (Archaeological Resources Protection Act of 1979)","Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03- 5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004); Starkey v. U.S. Dep’t of the Interior, 238 F. Supp. 2d 1188, 1193-94 (S.D. Cal. 2002).","Information pertaining to the nature and location of certain archaeological resources","23"
"Department of Agriculture","Agency Overall","2018","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","9"
"Department of Agriculture","Agency Overall","2018","5 U.S.C. app. 3 § 7(b)","N/A","Names of employees who provide information or complaints to the Inspector General","2"
"Department of Agriculture","Agency Overall","2018","18 U.S.C. § 5038(c)","N/A","Records of juvenile delinquency proceedings","3"
"Court Services and Offender Supervision Agency","Agency Overall","2018","N/A","N/A","N/A","0"
"General Services Administration","Agency Overall","2018","41 U.S.C. § 253b(m)(l) (currently at 41 U.S.C. § 4702)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contacts.","7"
"General Services Administration","Agency Overall","2018","10 U.S.C. § 2305(g)","Roman v. NSA, Nos. 09-2947, 09- 4281, 09- 3344, 09- 2504, 09- 5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb.22, 2012): Margolin v. NASA, No. 09-CV-00421-LRHVPC, 2011 WL 1303221, at *6 (D. New Mar 31, 2011).","Certain contractor proposals","1"
"General Services Administration","Agency Overall","2018","26 U.S.C. §§ 6103, 6105 (Internal Revenue Code)","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Leonard v. U.S. Dep't of Treasury, 590 F. App'x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir.2010)(unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information.","2"
"General Services Administration","Agency Overall","2018","41 U.S.C. § 2102 (amending 41 U.S.C. § 423 (a)(1))* (Procurement Integrity Act)","Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information.","9"
"General Services Administration","Agency Overall","2018","31 U.S.C. § 3730","N/A","Records pertaining to civil actions for false claims against the United States Government","1"
"Federal Mediation and Conciliation Service","Agency Overall","2018","N/A","0","N/A","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","N/A","N/A","N/A","0"
"Peace Corps","Agency Overall","2018","N/A","N/A","N/A","0"
"Department of Education","Agency Overall","2018","41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004). 41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))* (Procurement Integrity Act) Contractor bid or proposal information; source selection information Legal &","Contractor proposals that are in the posession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","3"
"Department of Education","Agency Overall","2018","5 U.S.C. app. § 105","N/A","Financial disclosure reports and applications to inspect financial disclosure reports","3"
"Department of Education","Agency Overall","2018","5 U.S.C. app. § 107(a) (Ethics in Government Act of 1978)","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009), renewed motion for summary judgement granted, 699 F. Supp. 2d 106 (D.D.C. 2010); Glascoe v. DOJ, No. 04-0486, 2005 WL 1139269, at *1 (D.D.C. May 15, 2005).","Financial disclosure information pertaining to certain government employees","6"
"Department of Education","Agency Overall","2018","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))* (Procurement Integrity Act)","Legal & Safety Employer Research, Inc. v. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection","2"
"Department of Education","Agency Overall","2018","31 U.S.C. § 3730(b)(2)","N/A","Records pertaining to civil actions for false claims against the United States Government","1"
"Department of Education","Agency Overall","2018","20 U.S.C. § 1099c-1","Bagwell v. U.S. Dep't of Educ., 183 F. Supp. 3d 109, 126-27 (D.D.C. 2016).","Certain program review reports and institutional responses until the Department of Education issues a final program review determination.","6"
"Department of Education","Agency Overall","2018","5 U.S.C. § 574(j)","N/A","Dispute resolution communications","2"
"Department of Education","Agency Overall","2018","41 U.S.C. § 2102 (amending 41 U.S.C § 423(a)(1))* (Procurement Integrity Act)","Legal & Safety Employer Research, Inc. v. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","2"
"Office of National Drug Control Policy","Agency Overall","2018","10 U.S.C. § 424","Hamdan v. DOJ, 797 F.3d 759, 776 (9th Cir. 2015); Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004).","Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","3"
"Office of National Drug Control Policy","Agency Overall","2018","10 U.S.C. § 130b","Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Hiken v. DOD, 521 F. Supp. 2d 1047, 1062 (N.D. Cal. 2007); O’Keefe v. DOD, 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005).","Personally identifiable information pertaining to “any member of the armed forces assigned to an overseas unit, a sensitive unit, or a routinely deployable unit” and “any employee of the Department of Defense or of the Coast Guard whose duty station is with any such unit”","3"
"Office of National Drug Control Policy","Agency Overall","2018","50 U.S.C. § 3024(i)(1)","CIA v. Sims, 471 U.S. 159, 167 (1985).","Intelligence sources and methods","3"
"Office of National Drug Control Policy","Agency Overall","2018","50 U.S.C. § 3605","ACLU v. DOJ, 681 F.3d 61, 72- 75 (2d Cir. 2012); Elec. Priv. Info. Ctr. v. NSA, 678 F.3d 926, 931 (D.C. Cir. 2012); Houghton v. NSA, 378 F. App’x 235, 238-39 (3d Cir. 2010) (per curiam); Lahr v. NTSB, 569 F.3d 964, 985 (9th Cir. 2009)","Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees","3"
