"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"United States International Boundary and Water Commission","Agency Overall","2018","0","0","0","0","0"
"Department of Justice","Agency Overall","2018","269","2862","1","8.52","2661"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","0","0","0","0","0"
"United States Access Board","Agency Overall","2018","1","0","6","6","1"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2018","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2018","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","0","1","9","9","1"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","1","44","7","7.69","31"
"Central Intelligence Agency","Agency Overall","2018","1","26","1","1","26"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","3","1","3","3","3"
"Advisory Council on Historic Preservation","Agency Overall","2018","0","0","0","0","0"
"National Council on Disability","Agency Overall","2018","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2018","3","0","13","13","1"
"Farm Credit System Insurance Corporation","Agency Overall","2018","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2018","0","2","3","3","2"
"National Labor Relations Board","Agency Overall","2018","37","94","5","9.25","110"
"National Aeronautics and Space Administration","Agency Overall","2018","1","34","5","10.26","29"
"Department of Veterans Affairs","Agency Overall","2018","97","58","10","13.39","135"
"Commission of Fine Arts","Agency Overall","2018","1","1","9","9","1"
"Department of Energy","Agency Overall","2018","3","38","7","9.98","32"
"Environmental Protection Agency","Agency Overall","2018","10","658","11","18.3","323"
"National Endowment for the Humanities","Agency Overall","2018","0","4","1.5","1.75","4"
"U.S. Commission on Civil Rights","Agency Overall","2018","2","0","15","15","1"
"Department of Labor","Agency Overall","2018","58","248","13","50.9","137"
"Federal Labor Relations Authority","Agency Overall","2018","0","11","8","9.18","8"
"National Science Foundation","Agency Overall","2018","0","2","11","15","0"
"Federal Energy Regulatory Commission","Agency Overall","2018","0","19","7","7","19"
"Federal Trade Commission","Agency Overall","2018","6","0","10","9.17","6"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2018","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2018","20","35","5","15.11","36"
"United States Postal Service","Agency Overall","2018","7","95","2","2.86","98"
"Equal Employment Opportunity Commission","Agency Overall","2018","2","25","6","31.41","15"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","1","6","14","16","3"
"Department of the Interior","Agency Overall","2018","45","122","0","4","153"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","1","2","1","1.3","3"
"Denali Commission","Agency Overall","2018","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2018","227","253","3","5.47","453"
"United States Copyright Office","Agency Overall","2018","1","2","4","9","2"
"Social Security Administration","Agency Overall","2018","5","79","4","7","67"
"National Transportation Safety Board","Agency Overall","2018","1","1","36.5","36.5","1"
"Administrative Conference of the United States","Agency Overall","2018","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2018","0","4","7","7.5","4"
"Surface Transportation Board","Agency Overall","2018","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2018","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2018","0","2","6","7","2"
"Council on Environmental Quality","Agency Overall","2018","0","9","9","8.56","7"
"Department of Transportation","Agency Overall","2018","6","290","0","5","291"
"National Endowment for the Arts","Agency Overall","2018","0","1","8","8","1"
"Federal Open Market Committee","Agency Overall","2018","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2018","1","1","6","6","2"
"Department of Defense","Agency Overall","2018","498","1331","3.73","5.67","1268"
"Millennium Challenge Corporation","Agency Overall","2018","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2018","2","0","1","1","2"
"Social Security Advisory Board","Agency Overall","2018","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2018","1","1","9","9","2"
"All agencies","Agency Overall","2018","2415","12988","N/A","N/A","11316"
