"Agency","Component","Fiscal Year","Number of Records Posted by the FOIA Office","Number of Records Posted by Program Offices"
"Institute of Museum and Library Services","Agency Overall","2018","9","932"
"Tennessee Valley Authority","Agency Overall","2018","0","0"
"Council on Environmental Quality","Agency Overall","2018","19","6"
"Department of Transportation","Agency Overall","2018","89714","17944"
"National Endowment for the Arts","Agency Overall","2018","26","18"
"Federal Open Market Committee","Agency Overall","2018","76","29"
"Consumer Product Safety Commission","Agency Overall","2018","11","61"
"Department of Defense","Agency Overall","2018","18320","167268"
"Millennium Challenge Corporation","Agency Overall","2018","0","0"
"American Battle Monuments Commission","Agency Overall","2018","3","0"
"Social Security Advisory Board","Agency Overall","2018","0","0"
"Federal Election Commission","Agency Overall","2018","234","86"
"All agencies","Agency Overall","2018","154987","28174808"
