"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"United States Trade and Development Agency","Agency Overall","2018","62","129","28","616","N/A","N/A","N/A","N/A","214","214","214","214"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","N/A","N/A","N/A","N/A","91","96.25","43","160","N/A","N/A","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2018","6","6.5","2","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2018","18","24.17","1","87","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","19","24","4","49","120","120","120","120","N/A","N/A","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2018","11","13.63","1","56","30","35.74","8","97","18","20","14","30"
"National Railroad Passenger Corporation","Agency Overall","2018","5","22.33","1","141","47","109.39","1","1015","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2018","14.47","22.56","<1","952","39.87","101.78","<1","1828","49.35","90.72","1","1095"
"U.S. Department of State","Agency Overall","2018","401.06","395.29","3","1976","61","491.09","5","3003","334.62","406.89","118","749"
"Occupational Safety and Health Review Commission","Agency Overall","2018","6","7.4","1","19","26.5","26.5","24","29","9","9","9","9"
"Office of the United States Trade Representative","Agency Overall","2018","20","21","1","91","102","109","21","222","N/A","N/A","N/A","N/A"
"Federal Reserve System","Agency Overall","2018","5","8","1","103","43","76","1","389","209","209","209","209"
"U.S. Agency for International Development","Agency Overall","2018","3","3","3","3","212.5","316.47","2","1233","702","704.33","408","1003"
"U.S. Election Assistance Commission","Agency Overall","2018","N/A","N/A","N/A","N/A","40","73","1","313","N/A","N/A","N/A","N/A"
"Small Business Administration","Agency Overall","2018","7","14.03","<1","217","N/A","N/A","N/A","N/A","1","18.52","<1","84"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","15","15.9","<1","70","15.5","22.2","7","40","8.5","8.5","7","10"
"Presidio Trust","Agency Overall","2018","7","8","<1","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2018","21","52.54","1","215","387.5","387.5","173","602","53","53","53","53"
"Farm Credit Administration","Agency Overall","2018","5","8.61","1","19","N/A","N/A","N/A","N/A","4","3.33","2","4"
"Federal Housing Finance Agency","Agency Overall","2018","17","22.27","1","174","48","69.74","7","172","N/A","N/A","N/A","N/A"
"Department of Commerce","Agency Overall","2018","19","41.54","<1","972","83","143.26","2","1592","51.5","114.71","10","267"
"United States Institute of Peace","Agency Overall","2018","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","4","2","2","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2018","14","30.08","<1","277","82","106.02","<1","433","36","46.75","16","99"
"Overseas Private Investment Corporation","Agency Overall","2018","16","29","<1","238","44.5","231.5","2","768","18","16.33","7","24"
"Selective Service System","Agency Overall","2018","8","7","1","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2018","17","26.12","<1","128","181.5","240.77","25","856","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2018","11.5","15.7","1","72","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2018","28","39.96","<1","1028","72","187.38","<1","1658","138","161.64","1","1110"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","10","10","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2018","34","34","9","59","N/A","N/A","N/A","N/A","38","38","38","38"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","N/A","N/A","N/A","N/A","40","54","34","77","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2018","31","77","1","318","699","462","1270","N/A","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2018","1","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","12.5","12","1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","6","8.11","<1","64","20","24.39","<1","151","N/A","N/A","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2018","16","89.82","2","1317","333.5","418.3","5","2555","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","19","36","1","262","N/A","N/A","N/A","N/A","22","22","4","40"
"Advisory Council on Historic Preservation","Agency Overall","2018","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Council on Disability","Agency Overall","2018","3","5","2","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2018","9","10","3","20","43","44","31","72","13","13","10","15"
"Farm Credit System Insurance Corporation","Agency Overall","2018","1","5.5","1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","28","28","28","28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2018","6","5.25","2","7","29.5","52.2","16","108","N/A","N/A","N/A","N/A"
"National Labor Relations Board","Agency Overall","2018","25","61.94","<1","471","N/A","N/A","0","0","9","23.16","2","148"
"National Aeronautics and Space Administration","Agency Overall","2018","13.5","15.94","<1","118","33","45.5","<1","218","6","6","6","6"
"Department of Veterans Affairs","Agency Overall","2018","9","18.28","<1","1506","21","42.45","<1","916","17","42.22","<1","508"
"Commission of Fine Arts","Agency Overall","2018","9","10","7","12","61","61","61","61","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2018","37","77.47","<1","934","75","151.44","<1","2001","21","21","21","21"
"Environmental Protection Agency","Agency Overall","2018","16","40.05","<1","961","58","163","<1","1793","378","371.28","18","645"
"National Endowment for the Humanities","Agency Overall","2018","18","13","1","21","30","31.8","20","59","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2018","7","8.85","1","26","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2018","13","26.2","<1","207","15","30.7","<1","2057","11","50.9","<1","1027"
"Federal Labor Relations Authority","Agency Overall","2018","5","5.64","<1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2018","8","46","1","292","103","196","1","1284","N/A","N/A","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2018","29","75","19","781","42","133","15","1056","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2018","8","12.24","1","108","39","58.06","3","750","58","65.75","12","135"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","20","17.2","4","27","32","141.1","29","372","N/A","N/A","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2018","58","59","48","69","56","56","56","56","8","6.3","1","10"
"Office of Special Counsel","Agency Overall","2018","29.5","129.6","<1","475","243","405.37","24","1667","73.5","197.21","3","932"
"United States Postal Service","Agency Overall","2018","13","14.84","1","388","22","52.42","2","1700","5","5","1","9"
"Equal Employment Opportunity Commission","Agency Overall","2018","23","52.11","<1","672","39","80.2","4","322","237","237","237","237"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","14","25","1","110","37","151","19","612","3","3","3","3"
"Department of the Interior","Agency Overall","2018","2","6","<1","112","26","66","<1","1150","24","61","<1","472"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","1","1.9","<1","12","16","14.5","2","24","<1","<1","<1","<1"
"Denali Commission","Agency Overall","2018","14","16","1","28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2018","474","311.52","<1","1957","576","1043.1","<1","4972","58.5","58.5","56","61"
"United States Copyright Office","Agency Overall","2018","11","11.5","4","25","157.5","143.3","<1","288","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2018","5","7","<1","286","117","152","6","910","75","67","25","94"
"National Transportation Safety Board","Agency Overall","2018","204.5","339.64","1","1211","850","803.77","19","1462","169","169","42","296"
"Administrative Conference of the United States","Agency Overall","2018","<1","3","<1","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2018","6.5","8.9","<1","32","30","36.84","2","119","40","40","30","50"
"Surface Transportation Board","Agency Overall","2018","9","8.8","1","28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2018","20","22.44","4","78","98","126.55","55","244","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2018","7","7.5","1","20","49","51.5","21","270","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2018","23","44.83","4","226","50","80.19","6","251","N/A","N/A","N/A","N/A"
"Department of Transportation","Agency Overall","2018","16","38","<1","1139","51","130","<1","2100","31","137","3","897"
"National Endowment for the Arts","Agency Overall","2018","10","12","1","27","34","93","28","27","N/A","N/A","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2018","6","6.3","3","12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2018","34","47","<1","301","62","110.49","3","2068","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2018","13.8","24.1","<1","1171","154.9","207.9","<1","3478","22","31.6","<1","982"
"Millennium Challenge Corporation","Agency Overall","2018","48","51","1","121","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2018","N/A","N/A","N/A","N/A","18","38.5","1","160","1","1","<1","1"
"Social Security Advisory Board","Agency Overall","2018","4","2","1","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2018","15","23.2","4","124","44","197.7","13","1106","N/A","N/A","N/A","N/A"
