"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","0","3","4","1","0","0","0","0","0","0","0","0","0","8"
"Office of Management and Budget","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","22","22"
"Federal Financial Institutions Examination Council","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","647","408","120","30","5","6","9","1","0","0","0","0","0","1226"
"Central Intelligence Agency","Agency Overall","2018","20","35","35","27","31","16","22","18","16","11","93","116","227","667"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2018","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"National Council on Disability","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2018","0","6","2","1","0","0","0","0","0","0","0","0","0","9"
"Farm Credit System Insurance Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2018","7","5","2","0","3","1","0","0","0","0","0","0","0","18"
"National Labor Relations Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2018","154","106","44","28","17","4","5","4","1","2","1","0","0","366"
"Department of Veterans Affairs","Agency Overall","2018","1956","827","398","221","135","94","67","51","51","34","71","31","43","3979"
"Commission of Fine Arts","Agency Overall","2018","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"Department of Energy","Agency Overall","2018","63","72","69","57","39","15","23","13","8","9","20","16","25","429"
"Environmental Protection Agency","Agency Overall","2018","538","332","138","93","56","61","47","26","19","10","80","55","193","1648"
"National Endowment for the Humanities","Agency Overall","2018","2","2","1","0","0","0","0","0","0","0","0","0","0","5"
"U.S. Commission on Civil Rights","Agency Overall","2018","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of Labor","Agency Overall","2018","6770","1500","505","239","160","104","94","44","31","22","79","36","57","9641"
"Federal Labor Relations Authority","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2018","57","38","18","10","8","14","15","11","7","6","16","17","39","256"
"Federal Energy Regulatory Commission","Agency Overall","2018","21","32","6","4","3","1","2","0","0","1","4","1","4","79"
"Federal Trade Commission","Agency Overall","2018","156","129","72","35","28","20","13","8","5","0","3","1","0","470"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","0","7","0","0","3","1","0","0","0","0","3","1","1","16"
"Marine Mammal Commission","Agency Overall","2018","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"Office of Special Counsel","Agency Overall","2018","3","4","4","5","1","3","3","5","6","2","24","18","84","162"
"United States Postal Service","Agency Overall","2018","157","100","17","9","6","5","2","1","3","9","3","3","5","320"
"Equal Employment Opportunity Commission","Agency Overall","2018","5","60","10","7","3","6","3","5","6","4","8","1","0","118"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","2","5","1","1","3","0","0","0","0","0","0","0","6","18"
"Department of the Interior","Agency Overall","2018","2709","985","492","287","174","150","136","105","103","64","229","81","103","5618"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","4","2","0","0","0","0","0","0","0","0","0","0","0","6"
"Denali Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2018","155","41","49","8","9","6","8","7","7","6","41","57","391","785"
"United States Copyright Office","Agency Overall","2018","1","1","0","0","0","0","1","0","0","1","2","0","0","6"
"Social Security Administration","Agency Overall","2018","61","64","42","26","25","22","23","16","16","17","27","12","11","362"
"National Transportation Safety Board","Agency Overall","2018","9","1","0","0","1","7","2","1","1","1","7","13","155","198"
"Administrative Conference of the United States","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2018","29","31","11","4","4","2","0","0","0","0","0","0","0","81"
"Surface Transportation Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2018","0","0","1","0","1","1","0","1","0","0","1","0","0","5"
"Tennessee Valley Authority","Agency Overall","2018","0","35","18","14","10","0","3","1","1","2","1","0","0","85"
"Council on Environmental Quality","Agency Overall","2018","7","7","6","1","3","3","2","1","1","0","3","0","1","35"
"Department of Transportation","Agency Overall","2018","518","588","216","145","102","72","55","61","51","48","423","362","358","2999"
"National Endowment for the Arts","Agency Overall","2018","1","5","0","0","0","0","0","0","0","0","1","0","0","7"
"Federal Open Market Committee","Agency Overall","2018","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"Consumer Product Safety Commission","Agency Overall","2018","57","70","43","22","25","13","16","8","9","9","31","15","15","333"
"Department of Defense","Agency Overall","2018","8579","3979","1521","963","669","538","414","319","262","180","862","427","1589","20302"
"Millennium Challenge Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2018","12","2","1","0","0","0","0","1","0","0","0","0","0","16"
"Social Security Advisory Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2018","6","7","10","0","0","0","0","0","0","0","1","1","11","36"
"All agencies","Agency Overall","2018","84054","35453","21442","8971","13010","83891","9604","4524","2673","2024","6585","3638","9520","285389"
