"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Office of Personnel Management","Agency Overall","2018","74","1","149.6","232","108","214.4","0","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2018","539","339","448.57","10","1167","971","0","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2018","20","418","378","5","557","546","3","347","464"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","0","N/A","N/A","54","199","298.46","0","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2018","9","1098","847.55","0","N/A","N/A","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","0","N/A","N/A","4","348","350.5","0","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2018","4","4.5","5","7","22","17","0","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2018","9","659","595","117","172","219","2","467.5","467"
"Department of Health and Human Services","Agency Overall","2018","1229","131.68","141.92","6190","153.58","231.25","76","265.91","332.58"
"U.S. Department of State","Agency Overall","2018","222","576","697","10037","494.44","673.93","125","551","616"
"Occupational Safety and Health Review Commission","Agency Overall","2018","0","N/A","N/A","1","16","16","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2018","4","20","30","9","173","290","0","N/A","N/A"
"Federal Reserve System","Agency Overall","2018","2","51","51","30","29","72","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2018","27","529","492","256","250.5","312","1","1036","1036"
"U.S. Election Assistance Commission","Agency Overall","2018","0","N/A","N/A","8","246","202","0","N/A","N/A"
"Small Business Administration","Agency Overall","2018","51","33","49.91","0","N/A","N/A","1","23","23"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","3","20","28.3","1","338","338","0","N/A","N/A"
"Presidio Trust","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2018","51","128","147.49","8","398.5","415.375","4","323","364"
"Farm Credit Administration","Agency Overall","2018","2","5","5","0","N/A","N/A","0","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2018","3","26.25","26","20","238.5","344.8","0","N/A","N/A"
"Department of Commerce","Agency Overall","2018","574","71","130.13","885","134","180.39","72","207.5","165.22"
"United States Institute of Peace","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2018","82","33","68.35","67","210","223.55","1","95","95"
"Overseas Private Investment Corporation","Agency Overall","2018","6","24.5","22.8","6","55.5","55.3","0","N/A","N/A"
"Selective Service System","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2018","7","152","179","36","304.5","353","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2018","10","78.5","86","0","N/A","N/A","0","N/A","N/A"
"Department of Justice","Agency Overall","2018","12755","29","115.22","11706","221","309.87","337","333","338.86"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States Access Board","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Management and Budget","Agency Overall","2018","523","171","193","2","710","710","0","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","4","310","307","6","284","277","0","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","10","3.5","4.1","79","10","9.48","0","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2018","526","67","204.81","1725","355","487.58","2","259","259"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","2","221","221","0","N/A","N/A","0","N/A","N/A"
"Advisory Council on Historic Preservation","Agency Overall","2018","0","N/A","N/A","3","110","321","0","N/A","N/A"
"National Council on Disability","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","0","N/A","N/A","3","602","630","0","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2018","0","N/A","N/A","3","22","25","0","N/A","N/A"
"National Labor Relations Board","Agency Overall","2018","154","39","99.07","0","N/A","N/A","1","289","289"
"National Aeronautics and Space Administration","Agency Overall","2018","20","20.5","18","32","39","37","0","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2018","3946","195","282","1381","115","231","22","195.5","290"
"Commission of Fine Arts","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Energy","Agency Overall","2018","434","104","140.3","211","197","281.99","0","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2018","2233","115","146.74","1061","194","247.13","94","299","387.67"
"National Endowment for the Humanities","Agency Overall","2018","1","5","5","0","N/A","N/A","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Labor","Agency Overall","2018","20","84.5","197","1462","40","76.3","5","445","9.2"
"Federal Labor Relations Authority","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Science Foundation","Agency Overall","2018","34","227","256","222","313","380","2","126","126"
"Federal Energy Regulatory Commission","Agency Overall","2018","6","19","172","42","145","190","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2018","10","5","6.2","29","24","39.14","0","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","2","13","13","0","N/A","N/A","0","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2018","1","16","16","0","N/A","N/A","0","N/A","N/A"
"Office of Special Counsel","Agency Overall","2018","27","20","20","86","20","34","6","20","20"
"United States Postal Service","Agency Overall","2018","120","16","34","35","31","157","0","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2018","3335","41","64","18","17","71","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","2","4","4","31","288","378","1","10","10"
"Department of the Interior","Agency Overall","2018","35","25","55","3482","151","182","41","235","208"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Denali Commission","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2018","848","111","331.32","2155","735","1231.89","22","333","366.56"
"United States Copyright Office","Agency Overall","2018","3","24","22.3","3","161","192","0","N/A","N/A"
"Social Security Administration","Agency Overall","2018","407","5","16","116","94","105","1","114","114"
"National Transportation Safety Board","Agency Overall","2018","70","20","55","779","177","113","0","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2018","4","3.5","3.75","15","39","63.07","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2018","1","9","9.2","0","N/A","N/A","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2018","8","4","8.75","7","279","283","0","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2018","14","8","8.5","12","99","119","0","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2018","11","127","186.36","41","127","206.85","0","N/A","N/A"
"Department of Transportation","Agency Overall","2018","2534","233","351","1874","300","391","7","31","242"
"National Endowment for the Arts","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2018","79","88","96","294","140","170","0","N/A","N/A"
"Department of Defense","Agency Overall","2018","3531","48.67","56.88","10551","215.36","258.06","91","54.18","68.82"
"Millennium Challenge Corporation","Agency Overall","2018","3","92.8","93","0","N/A","N/A","0","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Social Security Advisory Board","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2018","5","225","294","68","385","466.2","0","N/A","N/A"
"All agencies","Agency Overall","2018","67221","N/A","N/A","114008","N/A","N/A","1239","N/A","N/A"
