"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"Federal Deposit Insurance Corporation","Agency Overall","2018","0","10","10","0"
"National Railroad Passenger Corporation","Agency Overall","2018","6","2","5","3"
"Department of Health and Human Services","Agency Overall","2018","371","226","170","427"
"U.S. Department of State","Agency Overall","2018","420","195","228","387"
"Occupational Safety and Health Review Commission","Agency Overall","2018","0","1","1","0"
"Office of the United States Trade Representative","Agency Overall","2018","0","6","4","2"
"Federal Reserve System","Agency Overall","2018","1","6","5","2"
"U.S. Agency for International Development","Agency Overall","2018","2","21","16","7"
"U.S. Election Assistance Commission","Agency Overall","2018","0","0","0","0"
"Small Business Administration","Agency Overall","2018","8","21","28","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","0","1","1","0"
"Presidio Trust","Agency Overall","2018","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2018","0","8","8","0"
"Farm Credit Administration","Agency Overall","2018","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2018","1","4","5","0"
"Department of Commerce","Agency Overall","2018","42","115","66","91"
"United States Institute of Peace","Agency Overall","2018","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2018","5","156","120","41"
"Overseas Private Investment Corporation","Agency Overall","2018","0","0","0","0"
"Selective Service System","Agency Overall","2018","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2018","0","3","3","0"
"United States International Boundary and Water Commission","Agency Overall","2018","0","1","1","0"
"Department of Justice","Agency Overall","2018","423","4018","4022","419"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","0","0","0","0"
"United States Access Board","Agency Overall","2018","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","0","0","0","0"
"Office of Management and Budget","Agency Overall","2018","7","4","0","11"
"Federal Financial Institutions Examination Council","Agency Overall","2018","6","0","0","6"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","1","14","14","1"
"Central Intelligence Agency","Agency Overall","2018","122","277","219","180"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","0","1","1","0"
"Advisory Council on Historic Preservation","Agency Overall","2018","0","0","0","0"
"National Council on Disability","Agency Overall","2018","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2018","0","1","1","0"
"Farm Credit System Insurance Corporation","Agency Overall","2018","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2018","0","1","1","0"
"National Labor Relations Board","Agency Overall","2018","1","14","13","2"
"National Aeronautics and Space Administration","Agency Overall","2018","6","9","15","0"
"Department of Veterans Affairs","Agency Overall","2018","98","354","342","110"
"Commission of Fine Arts","Agency Overall","2018","0","0","0","0"
"Department of Energy","Agency Overall","2018","12","53","56","9"
"Environmental Protection Agency","Agency Overall","2018","144","183","187","140"
"National Endowment for the Humanities","Agency Overall","2018","0","2","2","0"
"U.S. Commission on Civil Rights","Agency Overall","2018","0","0","0","0"
"Department of Labor","Agency Overall","2018","363","239","271","331"
"Federal Labor Relations Authority","Agency Overall","2018","0","0","0","0"
"National Science Foundation","Agency Overall","2018","0","4","4","0"
"Federal Energy Regulatory Commission","Agency Overall","2018","1","8","6","3"
"Federal Trade Commission","Agency Overall","2018","4","24","24","4"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2018","0","0","0","0"
"Office of Special Counsel","Agency Overall","2018","1","12","13","0"
"United States Postal Service","Agency Overall","2018","24","161","170","15"
"Equal Employment Opportunity Commission","Agency Overall","2018","27","318","326","19"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","0","4","4","0"
"Department of the Interior","Agency Overall","2018","418","204","241","381"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","0","0","0","0"
"Denali Commission","Agency Overall","2018","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2018","173","76","84","165"
"United States Copyright Office","Agency Overall","2018","0","2","2","0"
"Social Security Administration","Agency Overall","2018","15","507","477","45"
"National Transportation Safety Board","Agency Overall","2018","7","14","20","1"
"Administrative Conference of the United States","Agency Overall","2018","0","0","0","0"
"National Credit Union Administration","Agency Overall","2018","0","2","2","0"
"Surface Transportation Board","Agency Overall","2018","0","2","2","0"
"Institute of Museum and Library Services","Agency Overall","2018","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2018","1","7","8","0"
"Council on Environmental Quality","Agency Overall","2018","2","2","3","1"
"Department of Transportation","Agency Overall","2018","114","77","90","101"
"National Endowment for the Arts","Agency Overall","2018","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2018","0","1","1","0"
"Consumer Product Safety Commission","Agency Overall","2018","3","10","12","1"
"Department of Defense","Agency Overall","2018","970","1146","1147","969"
"Millennium Challenge Corporation","Agency Overall","2018","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2018","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2018","0","0","0","0"
"Federal Election Commission","Agency Overall","2018","5","7","3","9"
"All agencies","Agency Overall","2018","5191","15599","15163","5627"
