"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Council on Environmental Quality","Agency Overall","2018","189","167","216","156"
"Department of Transportation","Agency Overall","2018","14827","15049","14216","16082"
"National Endowment for the Arts","Agency Overall","2018","91","71","83","76"
"Federal Open Market Committee","Agency Overall","2018","22","12","22","13"
"Consumer Product Safety Commission","Agency Overall","2018","664","554","617","440"
"Department of Defense","Agency Overall","2018","55289","57032","53990","54323"
"Millennium Challenge Corporation","Agency Overall","2018","39","23","37","22"
"American Battle Monuments Commission","Agency Overall","2018","36","16","34","18"
"Social Security Advisory Board","Agency Overall","2018","1","3","1","3"
"Federal Election Commission","Agency Overall","2018","150","164","134","163"
"All agencies","Agency Overall","2018","798650","863729","823828","830060"
