"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Department of Justice","Agency Overall","2018","794","27","3","47","218","291","7","153","64","72","1195"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","7","0","1","0","1","0","0","1","0","0","2"
"Central Intelligence Agency","Agency Overall","2018","0","4","1","0","0","3","0","1","116","0","3"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","1"
"Advisory Council on Historic Preservation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"National Council on Disability","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2018","1","0","3","0","0","0","0","0","0","1","0"
"National Aeronautics and Space Administration","Agency Overall","2018","0","0","1","0","0","2","1","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2018","41","0","6","12","0","0","0","4","9","0","83"
"Commission of Fine Arts","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2018","7","0","14","1","1","10","0","0","0","1","6"
"Environmental Protection Agency","Agency Overall","2018","5","0","24","12","3","0","0","15","11","5","37"
"National Endowment for the Humanities","Agency Overall","2018","1","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2018","11","3","109","4","0","22","1","11","8","0","32"
"Federal Labor Relations Authority","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2018","0","0","1","0","0","0","0","0","1","0","0"
"Federal Trade Commission","Agency Overall","2018","1","0","0","0","0","0","0","0","0","0","1"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2018","1","0","0","0","0","1","0","0","0","0","0"
"United States Postal Service","Agency Overall","2018","9","1","2","1","2","1","0","2","1","1","8"
"Equal Employment Opportunity Commission","Agency Overall","2018","15","2","0","2","0","0","0","0","0","0","131"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2018","9","0","10","1","2","1","1","8","28","2","92"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Denali Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2018","19","0","3","4","3","3","1","3","4","2","7"
"United States Copyright Office","Agency Overall","2018","1","0","0","0","0","0","1","0","0","0","0"
"Social Security Administration","Agency Overall","2018","106","5","3","13","3","7","0","47","1","0","5"
"National Transportation Safety Board","Agency Overall","2018","1","0","2","0","0","8","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2018","0","0","0","0","0","0","1","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2018","7","0","27","0","0","2","0","0","0","1","0"
"National Endowment for the Arts","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","2"
"Department of Defense","Agency Overall","2018","65","4","78","21","2","47","9","11","25","29","122"
"Millennium Challenge Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2018","2","0","0","0","0","0","0","0","0","0","1"
"All agencies","Agency Overall","2018","1380","91","482","149","250","903","66","375","319","130","1991"
