"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Consumer Financial Protection Bureau","Agency Overall","2018","2018-02-08","162","2018-02-06","164","2018-02-06","164","2018-02-05","165","2018-02-01","167","2018-01-30","169","2018-01-29","170","2017-12-13","180","2017-12-13","200","2017-11-03","226"
"Department of Agriculture","Agency Overall","2018","2013-03-14","1392","2013-01-22","1430","2012-12-10","1458","2012-10-08","1500","2012-10-01","1501","2012-09-26","1504","2012-08-22","1532","2012-06-19","1577","2012-01-12","1582","2011-12-01","1711"
"Court Services and Offender Supervision Agency","Agency Overall","2018","2018-09-19","6","2018-09-19","6","2018-09-18","7","2018-09-17","8","2018-09-13","10","2018-09-06","15","2018-08-21","26","2018-08-17","28","2018-07-10","56","2018-07-03","60"
"General Services Administration","Agency Overall","2018","2017-05-01","350","2017-04-19","362","2017-04-18","365","2017-04-07","371","2017-03-31","376","2017-03-24","381","2017-03-23","383","2017-03-23","383","2017-03-20","385","2017-02-16","406"
"Federal Mediation and Conciliation Service","Agency Overall","2018","2017-08-28","274","2017-08-22","278","2017-06-15","325","2017-06-05","333","2017-05-16","346","2017-04-06","374","2017-03-13","392","2017-02-28","401","2017-01-23","426","2016-11-01","480"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Peace Corps","Agency Overall","2018","2017-04-24","361","2017-04-10","371","2017-04-10","371","2017-02-06","415","2016-12-07","455","2016-12-02","458","2016-12-01","459","2016-11-22","465","2016-11-21","466","2016-09-14","512"
"Department of Education","Agency Overall","2018","2015-07-22","801","2015-07-22","801","2014-12-02","960","2014-10-02","1000","2014-09-19","1009","2014-07-31","1044","2014-05-06","1104","2014-04-25","1111","2014-01-24","1175","2011-01-03","1943"
"Office of National Drug Control Policy","Agency Overall","2018","2018-04-27","108","2018-04-27","108","2018-02-15","158","2018-02-15","158","2018-02-15","158","2018-02-15","158","2018-02-02","167","2018-02-02","167","2017-09-15","261","2017-06-28","316"
"Department of Housing and Urban Development","Agency Overall","2018","2016-01-29","672","2016-01-11","685","2015-12-02","697","2015-11-23","717","2015-10-19","741","2015-09-29","755","2015-09-22","759","2015-09-02","772","2015-03-03","901","2014-08-15","1035"
"Armed Forces Retirement Home","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Capital Planning Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Communications Commission","Agency Overall","2018","2018-07-18","51","2018-05-16","94","2018-05-04","102","2018-03-30","127","2017-12-21","194","2017-12-11","202","2017-08-10","285","2017-03-10","392","2017-02-14","409","2016-11-18","466"
"Legal Services Corporation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-27","1","2018-09-24","4","2018-09-10","14","2018-08-31","19"
"United States International Trade Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Inter-American Foundation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-05-25","339"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-12","12","2018-09-12","12","2018-08-23","25","2018-08-23","25","2018-07-12","55","2018-07-12","55"
"Department of the Treasury","Agency Overall","2018","2013-07-26","1332","2013-07-25","1332","2013-04-03","1411","2012-05-22","1627","2012-02-07","1702","2011-09-21","1794","2011-05-31","1874","2011-02-09","1950","2010-07-27","2084","2008-01-28","2712"
"Office of Personnel Management","Agency Overall","2018","2015-07-20","808","2015-07-20","808","2015-07-16","808","2015-07-16","808","2015-06-23","824","2015-06-22","825","2015-06-09","834","2015-03-03","904","2015-02-24","909","2013-08-02","1298"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the Director of National Intelligence","Agency Overall","2018","2013-10-18","1242","2013-09-13","1266","2013-08-05","1294","2013-07-29","1299","2013-07-15","1309","2013-03-20","1390","2013-03-20","1390","2013-02-11","1416","2013-01-17","1432","2012-09-26","1508"
"United States Trade and Development Agency","Agency Overall","2018","2016-07-31","539","2016-07-31","539","2016-07-31","539","2016-07-31","539","2016-07-28","541","2016-07-13","551","2015-05-08","845","2015-01-19","920","2014-12-18","941","2014-04-10","1113"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","2016-04-19","615","2016-04-18","616","2016-04-14","618","2016-04-12","620","2016-04-12","620","2016-04-12","620","2016-02-16","660","2015-11-23","716","2015-10-13","744","2015-04-16","868"
"Appraisal Subcommittee","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Railroad Retirement Board","Agency Overall","2018","N/A","0","2018-01-12","180","2017-03-29","379","2016-10-03","503","2016-06-20","575","2014-05-07","1098","2014-01-07","1188","2013-12-05","1209","2013-11-14","1222","2013-08-26","1274"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-06-25","301","2018-06-25","301","2018-03-26","395","2018-03-16","405"
"Federal Deposit Insurance Corporation","Agency Overall","2018","2018-09-28","0","2018-09-25","3","2018-09-24","4","2018-09-20","6","2018-09-20","6","2018-09-13","11","2018-08-28","22","2018-08-20","28","2018-08-17","29","2018-08-15","31"
"National Railroad Passenger Corporation","Agency Overall","2018","2016-05-18","595","2016-04-07","624","2016-03-15","641","2016-03-07","647","2016-03-04","648","2016-03-03","649","2016-03-01","651","2016-02-29","652","2015-09-01","773","2015-08-24","779"
"Department of Health and Human Services","Agency Overall","2018","2013-01-30","1420","2013-01-13","1423","2013-01-08","1426","2012-12-12","1443","2012-10-03","1491","2012-10-01","1493","2012-09-06","1510","2012-08-22","1520","2012-06-01","1577","2012-03-20","1621"
"U.S. Department of State","Agency Overall","2018","2007-04-12","2883","2007-04-11","2884","2007-03-28","2894","2007-03-12","2906","2007-02-07","2928","2007-01-11","2946","2006-11-30","2974","2006-11-27","2977","2006-11-26","2977","2006-10-10","3009"
"Occupational Safety and Health Review Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-06","16"
"Office of the United States Trade Representative","Agency Overall","2018","2018-07-13","55","2018-07-11","57","2018-07-09","59","2018-05-17","94","2018-04-04","124","2018-02-27","151","2018-02-07","164","2017-11-13","222","2017-11-02","228","2013-05-28","1342"
"Federal Reserve System","Agency Overall","2018","2018-07-09","59","2018-06-18","73","2018-06-06","81","2018-05-21","92","2018-03-26","132","2018-02-13","160","2018-02-02","167","2017-05-31","336","2017-04-06","374","2017-04-06","374"
"U.S. Agency for International Development","Agency Overall","2018","2015-03-09","896","2015-02-25","904","2015-02-19","908","2015-01-13","933","2015-01-12","934","2014-12-03","960","2014-10-28","984","2014-08-13","1036","2014-08-06","1041","2014-01-27","1175"
"U.S. Election Assistance Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-03-13","140","2018-02-23","152","2017-10-06","218","2017-08-30","250","2017-08-30","250"
"Small Business Administration","Agency Overall","2018","2018-03-27","130","2018-03-19","131","2018-03-19","131","2018-03-14","139","2018-03-14","139","2018-03-13","140","2018-03-05","146","2018-02-05","176","2017-11-01","228","2017-10-03","260"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-13","11","2018-08-30","20","2018-07-12","54","2017-05-26","338"
"Presidio Trust","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2018","2017-06-30","314","2017-01-13","431","2016-12-05","458","2016-11-16","470","2016-10-03","500","2016-08-09","538","2016-02-23","656","2016-02-17","660","2015-09-18","761","2015-07-08","812"
"Farm Credit Administration","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-25","4","2018-09-19","8"
"Federal Housing Finance Agency","Agency Overall","2018","2017-10-17","239","2017-09-21","256","2016-11-28","462","2016-11-21","466","2016-05-16","596","2016-05-09","601","2015-11-12","723","2015-09-29","753","2015-07-07","812","2015-03-26","883"
"Department of Commerce","Agency Overall","2018","2014-04-24","1112","2013-10-23","1236","2013-09-25","1255","2013-09-18","1260","2012-12-27","1444","2012-08-22","1530","2012-08-03","1542","2012-06-13","1578","2012-03-23","1635","2011-10-31","1734"
"United States Institute of Peace","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Nuclear Regulatory Commission","Agency Overall","2018","2016-12-23","443","2016-11-15","470","2016-11-03","477","2016-10-18","489","2016-10-13","492","2016-09-14","512","2016-08-24","526","2016-06-21","571","2016-05-23","591","2016-05-11","599"
"Overseas Private Investment Corporation","Agency Overall","2018","2018-09-17","10","2018-08-06","39","2018-08-06","39","2018-08-06","39","2018-08-03","40","2018-07-19","51","2018-07-10","39","2018-07-06","60","2018-07-05","61","2018-03-16","81"
"Selective Service System","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Export-Import Bank of the U.S.","Agency Overall","2018","2016-09-26","504","2016-06-06","582","2016-05-31","586","2016-05-03","605","2016-05-03","605","2016-05-03","605","2015-08-06","790","2015-03-04","899","2014-11-20","968","2014-06-20","1073"
"United States International Boundary and Water Commission","Agency Overall","2018","2018-09-27","3","2018-09-10","15","2018-08-31","20","2018-08-28","22","2018-07-24","45","2018-04-18","112","2018-03-02","146","2018-03-01","147","2018-01-17","170","2018-01-07","180"
"Department of Justice","Agency Overall","2018","2012-08-01","1545","2012-07-03","1565","2012-07-02","1566","2012-06-18","1576","2012-06-14","1578","2012-05-11","1601","2012-05-07","1605","2012-05-01","1609","2012-04-23","1615","2012-03-20","1639"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Access Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Management and Budget","Agency Overall","2018","2017-01-31","420","2017-01-26","423","2017-01-26","423","2016-12-20","447","2016-12-07","457","2016-12-07","457","2016-11-18","468","2016-10-14","492","2016-09-28","503","2015-02-11","914"
"Federal Financial Institutions Examination Council","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","2018-07-12","56","2017-10-04","248","2017-08-23","272","2017-08-23","272","2017-07-27","296","2017-07-10","309","2017-07-05","312","2017-05-31","336","2017-03-08","395","2017-03-06","397"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","2018-09-06","16","2018-09-06","16","2018-09-05","17","2018-09-05","17","2018-09-05","17","2018-09-05","17","2018-09-04","18","2018-09-04","18","2018-09-04","18","2018-09-04","18"
"Central Intelligence Agency","Agency Overall","2018","2009-10-09","2251","2009-08-05","2297","2009-05-05","2357","2009-04-15","2375","2009-02-05","2423","2009-01-28","2429","2009-01-28","2429","2008-12-23","2452","2008-07-09","2567","2007-12-27","2701"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-09-11","18","2017-09-05","156"
"Advisory Council on Historic Preservation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-07-23","49","2018-06-13","76","2016-08-10","537"
"National Council on Disability","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Postal Regulatory Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit System Insurance Corporation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-05-05","359","2016-05-17","602","2015-01-29","929"
"Federal Maritime Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-18","8","2018-08-28","22","2018-07-26","45"
"National Labor Relations Board","Agency Overall","2018","2017-05-11","311","2017-05-23","340","2017-05-18","341","2017-04-03","376","2017-03-27","381","2017-03-09","394","2017-03-03","404","2017-03-03","404","2017-03-03","404","2017-02-07","414"
"National Aeronautics and Space Administration","Agency Overall","2018","2018-07-23","48","2018-07-23","48","2018-07-10","57","2018-07-03","61","2018-07-03","61","2018-06-29","63","2018-06-25","67","2018-05-29","86","2018-05-16","94","2018-03-29","128"
"Department of Veterans Affairs","Agency Overall","2018","2012-12-05","1460","2012-11-20","1470","2012-11-15","1473","2012-11-07","1478","2012-11-06","1479","2012-10-25","1487","2012-10-23","1489","2012-09-21","1510","2012-05-14","1601","2011-09-13","1768"
"Commission of Fine Arts","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Energy","Agency Overall","2018","2014-03-13","1143","2013-12-11","1205","2013-09-05","1271","2013-08-19","1283","2013-08-06","1292","2013-05-21","1345","2013-04-04","1378","2013-02-28","1403","2013-02-19","1410","2011-05-10","1855"
"Environmental Protection Agency","Agency Overall","2018","2013-05-03","1355","2012-12-28","1429","2012-11-02","1479","2012-09-10","1511","2012-06-11","1575","2012-04-13","1591","2012-03-22","1633","2012-02-21","1659","2011-10-04","1089","2011-08-22","1781"
"National Endowment for the Humanities","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-21","5"
"U.S. Commission on Civil Rights","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Labor","Agency Overall","2018","2015-02-26","887","2014-11-18","966","2014-07-30","998","2014-06-24","1001","2014-02-10","1017","2014-02-07","1045","2014-01-28","1053","2014-01-28","1061","2013-07-22","1303","2013-03-13","1500"
"Federal Labor Relations Authority","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Science Foundation","Agency Overall","2018","2014-04-02","1132","2014-03-20","1141","2014-02-24","1159","2014-02-07","1169","2014-02-06","1170","2014-01-10","1188","2014-01-03","1193","2013-11-26","1218","2013-11-18","1224","2013-10-24","1240"
"Federal Energy Regulatory Commission","Agency Overall","2018","2017-11-16","218","2017-11-14","262","2017-05-31","335","2017-05-25","338","2017-05-05","352","2017-02-13","410","2016-03-29","630","2016-03-28","631","2013-08-26","1280","2013-07-18","1304"
"Federal Trade Commission","Agency Overall","2018","2018-08-27","25","2018-08-27","25","2018-08-24","26","2018-08-03","41","2018-08-01","43","2018-06-21","72","2018-05-10","102","2018-03-20","139","2018-03-08","147","2018-02-23","156"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-26","3","2018-08-28","23"
"Marine Mammal Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-07","16"
"Office of Special Counsel","Agency Overall","2018","2015-08-08","320","2015-08-08","320","2015-06-30","320","2014-12-29","320","2014-10-28","320","2014-09-08","320","2014-09-08","320","2014-09-08","320","2014-05-07","320","2014-02-21","320"
"United States Postal Service","Agency Overall","2018","2018-02-02","166","2018-01-16","179","2017-11-15","219","2017-09-27","252","2017-09-11","264","2017-08-04","289","2017-05-12","347","2015-08-06","790","2015-06-04","834","2010-02-22","2161"
"Equal Employment Opportunity Commission","Agency Overall","2018","2016-11-14","471","2016-11-14","471","2016-11-14","471","2016-11-14","471","2016-11-03","477","2016-11-01","479","2016-11-01","479","2016-10-20","487","2016-10-13","492","2016-10-11","494"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","2016-07-15","516","2016-06-03","546","2016-02-08","665","2015-11-30","713","2015-07-20","783","2015-06-17","806","2015-02-23","906","2015-02-05","917","2015-01-30","922","2014-07-23","1048"
"Department of the Interior","Agency Overall","2018","2015-01-14","932","2014-12-09","955","2014-10-18","989","2014-10-10","994","2014-09-16","1012","2014-09-04","1020","2014-09-04","1020","2014-08-21","1030","2014-08-07","1039","2014-08-01","1043"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Denali Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Archives and Records Administration","Agency Overall","2018","2001-05-08","4370","2000-09-28","4522","1999-11-17","4740","1998-12-23","4966","1996-09-11","5538","1996-08-08","5561","1995-02-02","5944","1995-01-02","5965","1994-05-04","6131","1992-09-21","6536"
"United States Copyright Office","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-18","8","2018-08-27","24","2018-08-20","29","2018-08-15","33","2018-02-12","161","2017-03-28","382"
"Social Security Administration","Agency Overall","2018","2017-12-04","214","2017-11-29","218","2017-11-28","219","2017-11-22","223","2017-11-09","232","2017-10-30","239","2017-10-30","239","2017-10-02","259","2016-12-22","462","2016-12-22","462"
"National Transportation Safety Board","Agency Overall","2018","2015-01-20","1350","2015-01-20","1350","2015-01-14","1356","2015-01-06","1364","2014-12-30","1371","2014-12-22","1379","2014-12-03","1398","2014-11-10","1421","2014-11-04","1427","2014-11-03","1428"
"Administrative Conference of the United States","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Credit Union Administration","Agency Overall","2018","2018-08-07","37","2018-08-07","37","2018-08-06","38","2018-08-03","39","2018-07-18","51","2018-06-12","76","2018-05-17","93","2018-05-15","95","2018-02-22","153","2018-01-24","173"
"Surface Transportation Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-28","2"
"Institute of Museum and Library Services","Agency Overall","2018","2018-09-14","10","2018-09-11","13","2018-08-20","28","2018-08-13","33","2018-08-09","35","2018-03-15","138","2017-08-21","279","2017-05-26","337","2016-09-26","505","2016-02-19","661"
"Tennessee Valley Authority","Agency Overall","2018","2018-08-10","35","2018-05-15","96","2018-05-11","98","2018-05-10","99","2018-05-07","102","2018-04-25","110","2018-02-27","151","2017-11-13","222","2017-11-02","228","2017-10-11","244"
"Council on Environmental Quality","Agency Overall","2018","2017-04-18","366","2017-04-18","366","2017-04-18","366","2017-01-30","408","2016-12-19","448","2016-11-10","473","2016-11-02","479","2016-10-31","481","2016-05-04","605","2016-02-04","668"
"Department of Transportation","Agency Overall","2018","2012-12-12","1454","2012-11-15","1472","2012-10-26","1485","2012-10-12","1495","2012-06-21","1573","2012-06-18","1576","2012-05-15","1599","2012-01-24","1678","2011-12-21","1699","2011-09-06","1772"
"National Endowment for the Arts","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Open Market Committee","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Consumer Product Safety Commission","Agency Overall","2018","2016-10-18","489","2016-10-18","489","2016-10-12","493","2016-10-12","493","2016-09-28","502","2016-09-27","503","2016-09-20","508","2016-09-16","510","2016-09-16","510","2016-09-16","510"
"Department of Defense","Agency Overall","2018","2005-09-13","3271","2005-08-17","3289","2005-08-10","3294","2005-08-09","3295","2005-08-08","3296","2005-08-06","3296","2005-07-12","3315","2005-03-03","3406","2004-11-19","3475","2002-01-10","4192"
"Millennium Challenge Corporation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-12","13","2018-06-20","71","2018-06-14","75"
"American Battle Monuments Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Social Security Advisory Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Election Commission","Agency Overall","2018","2014-05-14","1096","2014-05-05","1102","2014-05-02","1105","2014-02-06","1135","2013-10-17","1240","2013-08-28","1271","2013-08-28","1271","2013-07-25","1298","2012-10-18","1489","2011-06-09","1833"
