"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Department of Health and Human Services","Agency Overall","2018","0","15","209","1330","487","8230","346","39","1560","170","22","57","0","1"
"U.S. Department of State","Agency Overall","2018","124","8","6528","32","144","666","16","1","173","10","91","13","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2018","0","0","0","3","3","14","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2018","19","0","7","8","39","81","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2018","0","1","0","42","34","42","0","0","3","3","6","1","25","0"
"U.S. Agency for International Development","Agency Overall","2018","0","5","16","79","28","144","4","0","26","9","12","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2018","0","0","5","0","0","6","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2018","0","2","18","43","62","93","7","5","10","2","3","2","5","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","0","1","0","0","6","18","2","0","2","0","0","2","0","0"
"Presidio Trust","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2018","1","0","0","1","26","32","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2018","0","0","0","0","3","5","0","0","0","0","0","0","2","0"
"Federal Housing Finance Agency","Agency Overall","2018","0","1","1","18","17","42","2","0","24","1","13","1","5","0"
"Department of Commerce","Agency Overall","2018","1","14","48","97","182","214","10","13","54","4","24","5","0","0"
"United States Institute of Peace","Agency Overall","2018","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2018","2","0","1","18","34","60","5","0","33","0","14","18","0","0"
"Overseas Private Investment Corporation","Agency Overall","2018","0","0","1","16","13","21","0","0","3","0","0","0","0","0"
"Selective Service System","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2018","0","0","5","20","18","39","1","0","4","0","3","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2018","0","2","1","0","7","6","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2018","595","380","1762","304","1473","9550","1308","20","8512","2187","4586","2121","7","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2018","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2018","0","0","1","1","96","68","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","0","0","0","0","4","2","0","0","0","0","1","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","0","0","10","28","20","416","0","0","5","1","2","0","0","0"
"Central Intelligence Agency","Agency Overall","2018","1179","5","1255","9","40","144","1","0","9","10","12","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Council on Disability","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2018","0","0","0","0","7","4","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2018","0","0","4","4","5","7","1","0","1","2","1","0","0","0"
"National Labor Relations Board","Agency Overall","2018","0","1","1","43","125","755","155","0","740","128","1","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2018","","7","22","77","41","125","11","","30","4","16","5","",""
"Department of Veterans Affairs","Agency Overall","2018","9","2","4728","261","751","13692","77","8","2172","12","24","15","0","3"
"Commission of Fine Arts","Agency Overall","2018","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2018","3","6","44","80","117","292","4","0","61","1","26","5","0","0"
"Environmental Protection Agency","Agency Overall","2018","1","0","13","214","311","605","112","0","145","5","36","19","0","34"
"National Endowment for the Humanities","Agency Overall","2018","0","0","0","5","5","20","0","0","1","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2018","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2018","0","24","10","3718","2359","2338","1879","34","5304","2507","1130","1","0","6"
"Federal Labor Relations Authority","Agency Overall","2018","0","0","0","0","6","0","4","0","4","6","0","0","0","0"
"National Science Foundation","Agency Overall","2018","0","1","1","196","5","208","2","0","6","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2018","0","1","10","9","29","31","5","0","0","0","1","6","0","1"
"Federal Trade Commission","Agency Overall","2018","0","9","174","78","97","468","70","0","14","6","27","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","4","2","3","2","9","12","6","0","5","1","4","0","0","0"
"Marine Mammal Commission","Agency Overall","2018","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2018","0","0","0","1","64","83","9","1","82","0","1","0","0","0"
"United States Postal Service","Agency Overall","2018","0","17","723","100","102","897","36","0","206","14","56","9","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2018","0","0","1626","44","13041","5389","1693","0","7671","65","110","2","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","0","1","0","0","5","3","15","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2018","0","24","90","256","665","1382","155","2","708","20","72","31","0","11"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","0","0","0","0","2","5","0","0","0","0","0","0","0","0"
"Denali Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2018","417","17","381","29","35","603","3","1","319","543","107","16","0","2"
"United States Copyright Office","Agency Overall","2018","0","1","0","1","5","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2018","0","17","16","9","36","2217","8","0","20","2","36","0","0","0"
"National Transportation Safety Board","Agency Overall","2018","0","0","10","23","163","55","112","0","0","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2018","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2018","0","2","0","26","17","53","5","0","13","0","1","0","27","0"
"Surface Transportation Board","Agency Overall","2018","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2018","0","0","0","0","1","5","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2018","0","6","8","37","48","53","1","0","8","0","3","8","0","0"
"Council on Environmental Quality","Agency Overall","2018","0","10","0","1","21","31","0","0","0","0","1","1","0","0"
"Department of Transportation","Agency Overall","2018","0","12","205","229","533","2581","95","0","1090","125","37","24","0","0"
"National Endowment for the Arts","Agency Overall","2018","0","1","0","18","6","22","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2018","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2018","0","0","142","65","106","116","19","3","2","20","1","0","0","0"
"Department of Defense","Agency Overall","2018","1737","262","3252","1108","3716","13496","1099","360","6602","273","2714","189","2","4"
"Millennium Challenge Corporation","Agency Overall","2018","0","1","0","0","2","5","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2018","0","1","0","0","3","5","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2018","0","0","16","3","8","20","1","0","4","0","2","0","0","0"
"All agencies","Agency Overall","2018","4214","1602","67507","10952","61132","244383","9354","611","230458","6583","205625","3145","230","72"
