"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Small Business Administration","Agency Overall","2018","24","45"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","0","3"
"Presidio Trust","Agency Overall","2018","0","0"
"Office of Science and Technology Policy","Agency Overall","2018","22","56"
"Farm Credit Administration","Agency Overall","2018","0","0"
"Federal Housing Finance Agency","Agency Overall","2018","16","19"
"Department of Commerce","Agency Overall","2018","294","572"
"United States Institute of Peace","Agency Overall","2018","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","0","0"
"Nuclear Regulatory Commission","Agency Overall","2018","60","122"
"Overseas Private Investment Corporation","Agency Overall","2018","4","9"
"Selective Service System","Agency Overall","2018","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2018","43","41"
"United States International Boundary and Water Commission","Agency Overall","2018","3","7"
"Department of Justice","Agency Overall","2018","12863","17411"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","0","0"
"United States Access Board","Agency Overall","2018","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","0","0"
"Office of Management and Budget","Agency Overall","2018","231","510"
"Federal Financial Institutions Examination Council","Agency Overall","2018","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","8","10"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","0","0"
"Central Intelligence Agency","Agency Overall","2018","1746","2009"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","1","1"
"Advisory Council on Historic Preservation","Agency Overall","2018","1","3"
"National Council on Disability","Agency Overall","2018","0","0"
"Postal Regulatory Commission","Agency Overall","2018","1","0"
"Farm Credit System Insurance Corporation","Agency Overall","2018","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","3","3"
"Federal Maritime Commission","Agency Overall","2018","2","2"
"National Labor Relations Board","Agency Overall","2018","295","87"
"National Aeronautics and Space Administration","Agency Overall","2018","11","27"
"Department of Veterans Affairs","Agency Overall","2018","3755","4659"
"Commission of Fine Arts","Agency Overall","2018","0","0"
"Department of Energy","Agency Overall","2018","287","498"
"Environmental Protection Agency","Agency Overall","2018","1891","2761"
"National Endowment for the Humanities","Agency Overall","2018","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2018","0","0"
"Department of Labor","Agency Overall","2018","594","816"
"Federal Labor Relations Authority","Agency Overall","2018","0","0"
"National Science Foundation","Agency Overall","2018","263","248"
"Federal Energy Regulatory Commission","Agency Overall","2018","17","31"
"Federal Trade Commission","Agency Overall","2018","8","6"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","4","1"
"Marine Mammal Commission","Agency Overall","2018","1","1"
"Office of Special Counsel","Agency Overall","2018","200","112"
"United States Postal Service","Agency Overall","2018","36","62"
"Equal Employment Opportunity Commission","Agency Overall","2018","2259","2092"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","24","28"
"Department of the Interior","Agency Overall","2018","1550","3191"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","2","0"
"Denali Commission","Agency Overall","2018","0","0"
"National Archives and Records Administration","Agency Overall","2018","2061","1810"
"United States Copyright Office","Agency Overall","2018","5","5"
"Social Security Administration","Agency Overall","2018","169","149"
"National Transportation Safety Board","Agency Overall","2018","753","658"
"Administrative Conference of the United States","Agency Overall","2018","0","0"
"National Credit Union Administration","Agency Overall","2018","0","12"
"Surface Transportation Board","Agency Overall","2018","0","0"
"Institute of Museum and Library Services","Agency Overall","2018","5","8"
"Tennessee Valley Authority","Agency Overall","2018","6","11"
"Council on Environmental Quality","Agency Overall","2018","39","51"
"Department of Transportation","Agency Overall","2018","3742","2634"
"National Endowment for the Arts","Agency Overall","2018","1","0"
"Federal Open Market Committee","Agency Overall","2018","1","0"
"Consumer Product Safety Commission","Agency Overall","2018","185","265"
"Department of Defense","Agency Overall","2018","10426","11391"
"Millennium Challenge Corporation","Agency Overall","2018","0","2"
"American Battle Monuments Commission","Agency Overall","2018","2","0"
"Social Security Advisory Board","Agency Overall","2018","0","0"
"Federal Election Commission","Agency Overall","2018","60","72"
"All agencies","Agency Overall","2018","111949","130718"
