"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Office of Management and Budget","Agency Overall","2020","0","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2020","0","0","N/A","N/A"
"National Science Foundation","Agency Overall","2020","2","2","1","1"
"Merit Systems Protection Board","Agency Overall","2020","0","0","N/A","N/A"
"United States Institute of Peace","Agency Overall","2020","0","0","N/A","N/A"
"Social Security Advisory Board","Agency Overall","2020","0","0","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2020","0","0","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2020","0","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2020","33","0","1","3.58"
"U.S. Election Assistance Commission","Agency Overall","2020","0","0","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2020","0","0","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2020","0","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2020","35","0","1","1"
"Department of Health and Human Services","Agency Overall","2020","129","46","10.18","18.63"
"Central Intelligence Agency","Agency Overall","2020","15","0","N/A","N/A"
"Selective Service System","Agency Overall","2020","0","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","1","0","5","5"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","5","0","5","5"
"Federal Trade Commission","Agency Overall","2020","150","0","4","7.06"
"United States African Development Foundation","Agency Overall","2020","1","0","14","14"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","0","0","N/A","N/A"
"Department of Energy","Agency Overall","2020","52","7","3","33.83"
"Department of Housing and Urban Development","Agency Overall","2020","76","5","10.00","50.31"
"U.S. Agency for International Development","Agency Overall","2020","77","0","1","1.58"
"Department of Veterans Affairs","Agency Overall","2020","184","0","5","121.89"
"U.S. Department of State","Agency Overall","2020","444","0","4","21.83"
"Court Services and Offender Supervision Agency","Agency Overall","2020","0","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2020","0","0","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2020","0","0","N\A","N\A"
"Equal Employment Opportunity Commission","Agency Overall","2020","12","201","2.75","11.29"
"Export-Import Bank of the U.S.","Agency Overall","2020","23","3","4","20.3"
"Office of Personnel Management","Agency Overall","2020","25","7","1","1"
"Department of Labor","Agency Overall","2020","566","914","16","78.6"
"Federal Mediation and Conciliation Service","Agency Overall","2020","0","1","2","2"
"Federal Deposit Insurance Corporation","Agency Overall","2020","4","0","11","12.75"
"National Aeronautics and Space Administration","Agency Overall","2020","5","20","4","7.04"
"Advisory Council on Historic Preservation","Agency Overall","2020","0","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2020","0","0","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","0","0","N/A","N/A"
"Peace Corps","Agency Overall","2020","3","0","1","1.67"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","0","0","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","0","0","N/A","N/A"
"Department of Defense","Agency Overall","2020","2432","1214","2","5.94736842105263"
"Environmental Protection Agency","Agency Overall","2020","15","443","<1","3.16"
"Federal Housing Finance Agency","Agency Overall","2020","0","3","1","1"
"National Council on Disability","Agency Overall","2020","0","0","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","11","0","2","14"
"U.S. Agency for Global Media","Agency Overall","2020","0","0","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2020","0","0","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2020","0","0","N/A","N/A"
"All agencies","Agency Overall","2020","8742","8089","N/A","N/A"
