"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Commission of Fine Arts","Agency Overall","2020","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2020","0","0"
"United States Access Board","Agency Overall","2020","8","1"
"Office of the United States Trade Representative","Agency Overall","2020","2","2"
"Occupational Safety and Health Review Commission","Agency Overall","2020","1","2"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","32","23"
"Office of the Director of National Intelligence","Agency Overall","2020","561","696"
"Federal Communications Commission","Agency Overall","2020","16","21"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","3","1"
"Department of Commerce","Agency Overall","2020","721","629"
"Office of National Drug Control Policy","Agency Overall","2020","17","25"
"National Credit Union Administration","Agency Overall","2020","1","1"
"United States Copyright Office","Agency Overall","2020","8","3"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","72","73"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","12","25"
"United States Trade and Development Agency","Agency Overall","2020","28","45"
"U.S. International Development Finance Corporation","Agency Overall","2020","0","48"
"United States Postal Service","Agency Overall","2020","32","90"
"Small Business Administration","Agency Overall","2020","0","366"
"Appraisal Subcommittee","Agency Overall","2020","0","0"
"Surface Transportation Board","Agency Overall","2020","0","0"
"Social Security Administration","Agency Overall","2020","88","1710"
"Marine Mammal Commission","Agency Overall","2020","1","2"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","0","0"
"National Mediation Board","Agency Overall","2020","0","0"
"National Transportation Safety Board","Agency Overall","2020","418","109"
"Office of Government Ethics","Agency Overall","2020","28","32"
"Office of Management and Budget","Agency Overall","2020","568","638"
"Farm Credit Administration","Agency Overall","2020","0","0"
"National Science Foundation","Agency Overall","2020","301","342"
"Merit Systems Protection Board","Agency Overall","2020","46","50"
"United States Institute of Peace","Agency Overall","2020","0","4"
"Social Security Advisory Board","Agency Overall","2020","0","0"
"Council on Environmental Quality","Agency Overall","2020","39","55"
"Administrative Conference of the United States","Agency Overall","2020","0","0"
"Office of Science and Technology Policy","Agency Overall","2020","60","102"
"U.S. Election Assistance Commission","Agency Overall","2020","5","10"
"Millennium Challenge Corporation","Agency Overall","2020","2","1"
"American Battle Monuments Commission","Agency Overall","2020","1","0"
"Federal Election Commission","Agency Overall","2020","51","12"
"Department of Health and Human Services","Agency Overall","2020","7764","8817"
"Central Intelligence Agency","Agency Overall","2020","2384","2736"
"Selective Service System","Agency Overall","2020","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","2","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","0","0"
"Federal Trade Commission","Agency Overall","2020","3","2"
"United States African Development Foundation","Agency Overall","2020","0","1"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","0","0"
"Department of Energy","Agency Overall","2020","493","554"
"Department of Housing and Urban Development","Agency Overall","2020","937","1128"
"U.S. Agency for International Development","Agency Overall","2020","238","372"
"Department of Veterans Affairs","Agency Overall","2020","2491","3220"
"U.S. Department of State","Agency Overall","2020","11106","13798"
"Court Services and Offender Supervision Agency","Agency Overall","2020","0","0"
"Institute of Museum and Library Services","Agency Overall","2020","5","0"
"National Endowment for the Arts","Agency Overall","2020","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2020","205","898"
"Export-Import Bank of the U.S.","Agency Overall","2020","31","20"
"Office of Personnel Management","Agency Overall","2020","229","200"
"Department of Labor","Agency Overall","2020","1509","1714"
"Federal Mediation and Conciliation Service","Agency Overall","2020","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2020","1","11"
"National Aeronautics and Space Administration","Agency Overall","2020","28","39"
"Advisory Council on Historic Preservation","Agency Overall","2020","7","1"
"Postal Regulatory Commission","Agency Overall","2020","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","0","0"
"Peace Corps","Agency Overall","2020","69","80"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","0","1"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","0","0"
"Department of Defense","Agency Overall","2020","13198","16000"
"Environmental Protection Agency","Agency Overall","2020","2272","1783"
"Federal Housing Finance Agency","Agency Overall","2020","22","27"
"National Council on Disability","Agency Overall","2020","1","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","13","15"
"U.S. Agency for Global Media","Agency Overall","2020","13","42"
"Farm Credit System Insurance Corporation","Agency Overall","2020","0","0"
"National Endowment for the Humanities","Agency Overall","2020","0","4"
"All agencies","Agency Overall","2020","120768","141762"
