"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Department of Education","Agency Overall","2020","8425713.97","402491.53","8828205.50","6179.14","0.0700"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","6250.00","0.00","6250.00","0.00","0.0000"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","97624.00","0.00","97624.00","0.00","0.0000"
"National Capital Planning Commission","Agency Overall","2020","7437.00","0.00","7437.00","0.00","0.0000"
"National Labor Relations Board","Agency Overall","2020","2109869.00","0.00","2109869.00","13134.18","0.6200"
"Department of the Treasury","Agency Overall","2020","15916641.42","1459753.68","17376395.10","118639.91","0.7500"
"U.S. Railroad Retirement Board","Agency Overall","2020","471600.00","0.00","471600.00","79.50","0.0200"
"Commission of Fine Arts","Agency Overall","2020","40.00","0.00","40.00","0.00","0.0000"
"U.S. Commission on Civil Rights","Agency Overall","2020","42000.00","0.00","42000.00","0.00","0.0000"
"United States Access Board","Agency Overall","2020","63752.00","0.00","63752.00","0.00","0.0000"
"Office of the United States Trade Representative","Agency Overall","2020","205000.00","0.00","205000.00","271.00","0.1300"
"Occupational Safety and Health Review Commission","Agency Overall","2020","227085.96","0.00","227085.96","0.00","0.0000"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","97827.00","0.00","97827.00","0.00","0.0000"
"Office of the Director of National Intelligence","Agency Overall","2020","1853000.00","137849.00","1990849.00","0.00","0.0000"
"Federal Communications Commission","Agency Overall","2020","3398458.16","45028.26","3443486.42","12432.70","0.3700"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","36310.00","0.00","36310.00","0.00","0.0000"
"Department of Commerce","Agency Overall","2020","7718652.57","230217.83","7948870.40","57998.44","0.7500"
"Office of National Drug Control Policy","Agency Overall","2020","164000.00","0.00","164000.00","0.00","0.0000"
"National Credit Union Administration","Agency Overall","2020","482952.00","5412.00","488364.00","484.50","0.1000"
"United States Copyright Office","Agency Overall","2020","15403.11","0.00","15403.11","0.00","0.0000"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","146610.00","8428.00","155038.00","0.00","0.0000"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","123000.00","0.00","123000.00","445.30","0.3600"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","20875.00","0.00","20875.00","0.00","0.0000"
"United States Trade and Development Agency","Agency Overall","2020","15000.00","0.00","15000.00","0.00","0.0000"
"U.S. International Development Finance Corporation","Agency Overall","2020","162968.00","9780.00","172748.00","1350.00","0.8300"
"United States Postal Service","Agency Overall","2020","1745087.61","103792.26","1848879.87","23282.09","1.3300"
"Small Business Administration","Agency Overall","2020","352186.00","0.00","352186.00","22600.00","6.4200"
"Appraisal Subcommittee","Agency Overall","2020","375.00","0.00","375.00","0.00","0.0000"
"Surface Transportation Board","Agency Overall","2020","35931.25","0.00","35931.25","0.00","0.0000"
"Social Security Administration","Agency Overall","2020","3413163.79","26845.58","3440009.37","198676.76","5.8200"
"Marine Mammal Commission","Agency Overall","2020","3600.00","0.00","3600.00","0.00","0.0000"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","1720.00","0.00","1720.00","0.00","0.0000"
"National Mediation Board","Agency Overall","2020","720000.00","72000.00","792000.00","0.00","0.0000"
"National Transportation Safety Board","Agency Overall","2020","843642.00","0.00","843642.00","0.00","0.0000"
"Office of Government Ethics","Agency Overall","2020","289381.87","32709.24","322091.11","0.00","0.0000"
"Office of Management and Budget","Agency Overall","2020","1090632.00","53300.00","1143932.00","0.00","0.0000"
"Farm Credit Administration","Agency Overall","2020","35000.00","0.00","35000.00","0.00","0.0000"
"National Science Foundation","Agency Overall","2020","368093.64","0.00","368093.64","0.00","0.0000"
"Merit Systems Protection Board","Agency Overall","2020","236379.69","0.00","236379.69","0.00","0.0000"
"United States Institute of Peace","Agency Overall","2020","60000.00","0.00","60000.00","0.00","0.0000"
"Social Security Advisory Board","Agency Overall","2020","100.00","0.00","100.00","0.00","0.0000"
"Council on Environmental Quality","Agency Overall","2020","187378.62","81906.50","269285.12","0.00","0.0000"
"Administrative Conference of the United States","Agency Overall","2020","26776.00","0.00","26776.00","0.00","0.0000"
"Office of Science and Technology Policy","Agency Overall","2020","184024.00","0.00","184024.00","9751.17","5.3000"
"U.S. Election Assistance Commission","Agency Overall","2020","25000.00","0.00","25000.00","0.00","0.0000"
"Millennium Challenge Corporation","Agency Overall","2020","177000.00","0.00","177000.00","0.00","0.0000"
"American Battle Monuments Commission","Agency Overall","2020","14475.00","0.00","14475.00","0.00","0.0000"
"Federal Election Commission","Agency Overall","2020","382295.91","33623.11","415919.02","0.00","0.0000"
"Department of Health and Human Services","Agency Overall","2020","22798827.66","2626549.57","25425377.23","640476.70","2.8100"
"Central Intelligence Agency","Agency Overall","2020","6498687.00","998631.00","7497318.00","447.00","0.0100"
"Selective Service System","Agency Overall","2020","4889.31","0.00","4889.31","0.00","0.0000"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","45000.00","0.00","45000.00","0.00","0.0000"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","8200.00","0.00","8200.00","0.00","0.0000"
"Federal Trade Commission","Agency Overall","2020","1165879.85","102489.00","1268368.85","10240.80","0.8800"
"United States African Development Foundation","Agency Overall","2020","200.00","0.00","200.00","0.00","0.0000"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","3420.00","0.00","3420.00","0.00","0.0000"
"Department of Energy","Agency Overall","2020","7737209.37","455457.00","8192666.37","4371.91","0.0600"
"Department of Housing and Urban Development","Agency Overall","2020","229743.30","0.00","229743.30","22209.86","9.6700"
"U.S. Agency for International Development","Agency Overall","2020","5404234.93","481180.88","5885415.81","0.00","0.0000"
"Department of Veterans Affairs","Agency Overall","2020","16460303.89","961885.44","17422189.33","41221.03","0.2500"
"U.S. Department of State","Agency Overall","2020","50267354.87","1011236.10","51278590.97","0.00","0.0000"
"Court Services and Offender Supervision Agency","Agency Overall","2020","229109.82","0.00","229109.82","0.00","0.0000"
"Institute of Museum and Library Services","Agency Overall","2020","35383.50","0.00","35383.50","0.00","0.0000"
"National Endowment for the Arts","Agency Overall","2020","87500.00","0.00","87500.00","0.00","0.0000"
"Equal Employment Opportunity Commission","Agency Overall","2020","3956426.40","11200.00","3967626.40","21018.71","0.5300"
"Export-Import Bank of the U.S.","Agency Overall","2020","426579.00","17080.00","443659.00","248.00","0.0600"
"Office of Personnel Management","Agency Overall","2020","1900913.41","17080.00","1917993.41","18800.00","0.9900"
"Department of Labor","Agency Overall","2020","18480941.00","622681.00","19103622.00","171622.00","0.9300"
"Federal Mediation and Conciliation Service","Agency Overall","2020","75000.00","0.00","75000.00","0.00","0.0000"
"Federal Deposit Insurance Corporation","Agency Overall","2020","1582149.00","228501.00","1810650.00","3788.30","0.2400"
"National Aeronautics and Space Administration","Agency Overall","2020","1192748.44","684.96","1193433.40","20257.65","1.7000"
"Advisory Council on Historic Preservation","Agency Overall","2020","8000.00","0.00","8000.00","0.00","0.0000"
"Postal Regulatory Commission","Agency Overall","2020","25000.00","0.00","25000.00","0.00","0.0000"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","100.00","0.00","100.00","0.00","0.0000"
"Peace Corps","Agency Overall","2020","221858.00","0.00","221858.00","0.00","0.0000"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","103690.00","0.00","103690.00","0.00","0.0000"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","100.00","0.00","100.00","0.00","0.0000"
"Department of Defense","Agency Overall","2020","91509966.81","3973918.78","95483885.59","135607.58","0.1500"
"Environmental Protection Agency","Agency Overall","2020","45230739.84","1999296.00","47230035.84","102578.44","0.2300"
"Federal Housing Finance Agency","Agency Overall","2020","469561.33","0.00","469561.33","0.00","0.0000"
"National Council on Disability","Agency Overall","2020","10000.00","0.00","10000.00","0.00","0.0000"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","9800.00","0.00","9800.00","0.00","0.0000"
"U.S. Agency for Global Media","Agency Overall","2020","160000.00","10000.00","170000.00","0.00","0.0000"
"Farm Credit System Insurance Corporation","Agency Overall","2020","1200.00","0.00","1200.00","244.64","20.3900"
"National Endowment for the Humanities","Agency Overall","2020","60000.00","0.00","60000.00","0.00","0.0000"
"All agencies","Agency Overall","2020","552944674.84","42881254.28","595825929.12","2113456.41","N/A"
