"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"National Transportation Safety Board","Agency Overall","2020","73","20","6","2","2","0","0","0","1","0","7","3","34","148"
"Office of Government Ethics","Agency Overall","2020","39","4","4","4","2","6","0","1","3","0","4","10","0","77"
"Office of Management and Budget","Agency Overall","2020","20","17","8","4","12","5","7","11","0","6","11","1","0","102"
"Farm Credit Administration","Agency Overall","2020","28","0","0","0","0","0","0","0","0","0","0","0","0","28"
"National Science Foundation","Agency Overall","2020","31","6","2","3","0","1","4","1","1","1","3","0","3","56"
"Merit Systems Protection Board","Agency Overall","2020","68","2","2","0","0","0","0","0","0","0","0","0","0","72"
"United States Institute of Peace","Agency Overall","2020","1","1","1","0","0","0","0","0","0","0","0","0","0","3"
"Social Security Advisory Board","Agency Overall","2020","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Council on Environmental Quality","Agency Overall","2020","39","33","6","4","2","0","0","0","0","0","0","0","1","85"
"Administrative Conference of the United States","Agency Overall","2020","38","0","0","0","0","0","0","0","0","0","0","0","0","38"
"Office of Science and Technology Policy","Agency Overall","2020","9","3","1","4","5","2","0","1","0","1","1","3","11","41"
"U.S. Election Assistance Commission","Agency Overall","2020","7","0","2","0","0","1","0","2","0","0","0","0","0","12"
"Millennium Challenge Corporation","Agency Overall","2020","15","2","0","0","0","0","0","0","1","0","0","0","1","19"
"American Battle Monuments Commission","Agency Overall","2020","9","0","0","0","0","0","0","0","0","0","0","0","0","9"
"Federal Election Commission","Agency Overall","2020","52","12","5","1","2","1","2","0","0","1","2","1","0","79"
"Department of Health and Human Services","Agency Overall","2020","6956","887","572","456","373","183","178","309","297","302","1343","134","122","12112"
"Central Intelligence Agency","Agency Overall","2020","479","15","2","1","0","0","0","0","0","0","0","0","0","497"
"Selective Service System","Agency Overall","2020","43","0","0","0","0","0","0","0","0","0","0","0","0","43"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","11","3","0","0","1","0","0","0","0","0","0","0","0","15"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","0","0","0","15","0","0","0","0","0","0","0","0","0","15"
"Federal Trade Commission","Agency Overall","2020","734","12","2","0","1","0","0","1","1","0","0","0","0","751"
"United States African Development Foundation","Agency Overall","2020","3","0","0","0","0","1","0","0","0","0","0","0","0","4"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","3","2","0","0","0","0","0","0","0","0","0","0","0","5"
"Department of Energy","Agency Overall","2020","367","132","87","53","35","36","33","21","14","17","48","18","34","895"
"Department of Housing and Urban Development","Agency Overall","2020","972","189","78","49","34","15","14","14","4","4","33","23","56","1485"
"U.S. Agency for International Development","Agency Overall","2020","2","0","0","0","0","0","0","0","0","0","0","1","0","3"
"Department of Veterans Affairs","Agency Overall","2020","2461","9333","2050","653","278","210","165","137","92","74","73","211","345","16082"
"U.S. Department of State","Agency Overall","2020","790","155","71","28","18","19","14","6","12","16","34","19","106","1288"
"Court Services and Offender Supervision Agency","Agency Overall","2020","40","0","0","0","0","0","0","0","0","0","0","0","0","40"
"Institute of Museum and Library Services","Agency Overall","2020","36","0","0","0","0","0","0","0","0","0","0","0","0","36"
"National Endowment for the Arts","Agency Overall","2020","30","6","0","0","0","0","0","0","0","0","0","0","0","36"
"Equal Employment Opportunity Commission","Agency Overall","2020","11720","779","178","151","140","130","43","18","9","19","13","2","3","13205"
"Export-Import Bank of the U.S.","Agency Overall","2020","28","10","2","6","0","0","0","1","0","0","0","1","0","48"
"Office of Personnel Management","Agency Overall","2020","7715","9","5","1","4","3","1","1","1","4","1","2","11","7758"
"Department of Labor","Agency Overall","2020","3444","565","190","140","97","80","63","56","44","33","91","21","45","4869"
"Federal Mediation and Conciliation Service","Agency Overall","2020","20","0","0","0","0","0","0","0","0","0","0","0","0","20"
"Federal Deposit Insurance Corporation","Agency Overall","2020","166","12","0","0","0","0","0","0","0","0","0","0","0","178"
"National Aeronautics and Space Administration","Agency Overall","2020","281","36","6","4","0","1","2","0","0","1","0","0","0","331"
"Advisory Council on Historic Preservation","Agency Overall","2020","9","0","0","0","0","0","0","0","1","1","1","0","0","12"
"Postal Regulatory Commission","Agency Overall","2020","33","2","0","1","0","0","0","0","0","0","0","0","0","36"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Peace Corps","Agency Overall","2020","105","15","8","7","6","6","6","0","0","1","9","5","7","175"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Department of Defense","Agency Overall","2020","20284","1023","322","191","100","68","69","49","28","31","80","56","116","22417"
"Environmental Protection Agency","Agency Overall","2020","3517","775","285","154","95","49","63","48","40","33","84","73","402","5618"
"Federal Housing Finance Agency","Agency Overall","2020","66","6","0","0","0","0","0","0","0","0","0","0","0","72"
"National Council on Disability","Agency Overall","2020","13","2","0","0","0","0","0","0","0","0","0","0","0","15"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","22","1","2","0","2","0","0","0","0","0","0","0","0","27"
"U.S. Agency for Global Media","Agency Overall","2020","3","12","4","2","3","1","0","0","0","0","2","0","0","27"
"Farm Credit System Insurance Corporation","Agency Overall","2020","10","1","0","0","0","0","0","0","0","0","0","0","0","11"
"National Endowment for the Humanities","Agency Overall","2020","110","1","0","0","0","0","0","0","0","0","0","0","0","111"
"All agencies","Agency Overall","2020","275554","55999","27921","17211","11559","7612","5237","4289","4073","2712","6426","2399","3637","424629"
