"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Occupational Safety and Health Review Commission","Agency Overall","2020","5","5.9","1","20","30","26.2","6","35","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","15","144.01","<1","1384","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2020","1","4.68","<1","316","28.50","214.36","<1","1823","92.50","74","<1","111"
"Federal Communications Commission","Agency Overall","2020","14","13.07","<1","36","44","54.27","4","274","7","32.74","1","279"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","8","12.6","<1","48","33.5","51.2","2","154","19","19","19","19"
"Department of Commerce","Agency Overall","2020","15","57.99","<1","876","54","170.84","<1","2062","191","197.06","<1","797"
"Office of National Drug Control Policy","Agency Overall","2020","12","12","1","20","139","190","23","505","0","0","0","0"
"National Credit Union Administration","Agency Overall","2020","9.50","9.64","<1","20","29","27.41","1","103","1","1.33","1","2"
"United States Copyright Office","Agency Overall","2020","12.5","14.18","3","76","305","408.6","145","875","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","7","26","1","181","219","343","1","1179","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","<1","4.4","<1","55","19","20.6","4","45","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","7.5","7.5","5","5","140","140","49","231","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2020","27","27","1","80","1453","1453","1453","1453","25","25","25","25"
"U.S. International Development Finance Corporation","Agency Overall","2020","2.5","11.6","<1","64","48","76.4","6","142","41","54","24","97"
"United States Postal Service","Agency Overall","2020","5","9.33","<1","525","24","37.86","<1","426","5","8.45","2","20"
"Small Business Administration","Agency Overall","2020","19","20.2","1","203","21","21","21","21","9","14.35","1","46"
"Appraisal Subcommittee","Agency Overall","2020","3","3","1","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2020","4","6.2","1","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2020","5","14","<1","310","44","61","1","497","601","601","601","601"
"Marine Mammal Commission","Agency Overall","2020","8.5","8.5","7","10","87","87","40","135","N/A","N/A","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","1","2.5","1","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2020","2","3.9","1","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2020","21","213.39","<1","955","467","446.74","2","1362","N/A","N./A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2020","25","90.7","1","384","N/A","N/A","N/A","N/A","328","289.6","7","507"
"Office of Management and Budget","Agency Overall","2020","93","102","1","458","483","482","71","870","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2020","5","6.4","<1","20","N/A","N/A","N/A","N/A","2","2","1","3"
"National Science Foundation","Agency Overall","2020","23","56","<1","608","36","116","1","1639","N/A","N/A","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2020","2","5.65","<1","53","86","348.76","3","1174","1419","1419","1419","1419"
"United States Institute of Peace","Agency Overall","2020","36","32","15","41","39","39","39","39","n/a","n/a","N/A","N/A"
"Social Security Advisory Board","Agency Overall","2020","5","7.5","1","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2020","21","30.38","1","510","276","291.50","5","595","N/A","N/A","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2020","1","1.47","<1","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2020","11","216.07","1","784","72.5","164.32","1","944","5.5","45.2","1","184"
"U.S. Election Assistance Commission","Agency Overall","2020","14","46","2","152","135","139","9","248","112","98","47","134"
"Millennium Challenge Corporation","Agency Overall","2020","23","24","<1","448","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2020","7","7.1","1","15","18.5","37.6","10","84","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2020","11","36.4","2","355","83","221.1","6","1499","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2020","8.62","21.44","<1","1368","27.37","109.47","<1","1813","112.74","111.94","<1","1460"
"Central Intelligence Agency","Agency Overall","2020","4","6.9","<1","75","158","331.68","<1","3043","36","41.56","6","94"
"Selective Service System","Agency Overall","2020","1","3.16","1","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","14","19","1","92","N/A","N/A","N/A","N/A","29","29","29","29"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","17","15","10","60","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2020","4","6.07","<1","161","11","26.35","<1","530","10","28.54","<1","207"
"United States African Development Foundation","Agency Overall","2020","10","6","1","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","12","18","3","35","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2020","31","81.11","<1","1022","78.50","157.97","<1","1913","45","68.78","14","189"
"Department of Housing and Urban Development","Agency Overall","2020","13.00","52.87","<1","1036","52.50","199.45","<1","1517","8.00","13.60","2","89"
"U.S. Agency for International Development","Agency Overall","2020","3","140","3","414","84.5","205.79","<1","1239","20","45.14","16","120"
"Department of Veterans Affairs","Agency Overall","2020","12","33.97","<1","1656","41","130.59","<1","1899","19","151.97","<1","873"
"U.S. Department of State","Agency Overall","2020","13","86.65","1","2725","372","350","1","3329","78.5","399.4","4","2704"
"Court Services and Offender Supervision Agency","Agency Overall","2020","1","2","1","17","16","12","1","20","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2020","7","8.44","2","20","370","458.16","22","1068","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2020","14","13","1","26","33","41","31","58","7","7","7","7"
"Equal Employment Opportunity Commission","Agency Overall","2020","13","12.62","<1","797","22","29.27","<1","381","22.5","20.25","6","30"
"Export-Import Bank of the U.S.","Agency Overall","2020","17","32.3","<1","377","218","286","3","1100","17","17","17","17"
"Office of Personnel Management","Agency Overall","2020","1","2.6","1","1510","32","124","1","1246","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2020","9","36","1","1768","17","53.3","1","1895","7","18.8","1","821"
"Federal Mediation and Conciliation Service","Agency Overall","2020","1","2.18","<1","12","9","9.9","<1","28","2","2","2","2"
"Federal Deposit Insurance Corporation","Agency Overall","2020","6","8.06","<1","34","17","20.42","1","126","9.5","9.5","2","17"
"National Aeronautics and Space Administration","Agency Overall","2020","7","11.62","<1","183","25","34.33","<1","346","N/A","N/A","N/A","N/A"
"Advisory Council on Historic Preservation","Agency Overall","2020","5.5","57.75","1","283","30","99","1","423","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2020","17","13.6","1","66","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","20","20","20","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2020","11","69.48","<1","916","10.5","81.96","<1","627","N/A","N/A","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","29","29","29","29","20","19.3","1","30","N/A","N/A","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","1","3.5","1","11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2020","8","23.55","1","1254","59","226.12","1","3603","21","137","1","894"
"Environmental Protection Agency","Agency Overall","2020","16","48.77","<1","1142","44","117.95","<1","2592","493","541.77","<1","848"
"Federal Housing Finance Agency","Agency Overall","2020","7.5","8.98","<1","32","83.00","164.16","5","1229","12.00","12.00","12","12"
"National Council on Disability","Agency Overall","2020","9","8.5","<1","37","18","18","18","18","5","5.6","1","38"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","7.5","10.5","4","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2020","35","52","4","466","N/A","N/A","N/A","N/A","6.5","6","5","8"
"Farm Credit System Insurance Corporation","Agency Overall","2020","2","6.3","<1","21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2020","6","9.4","0","21","37","49.5","22","128","N/A","N/A ","N/A","N/A"
