"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"United States Institute of Peace","Agency Overall","2020","0","0","N/A","N/A","0"
"Social Security Advisory Board","Agency Overall","2020","0","0","N/A","N/A","0"
"Council on Environmental Quality","Agency Overall","2020","0","7","2","3.71","7"
"Administrative Conference of the United States","Agency Overall","2020","0","0","N/A","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2020","10","1","5.5","45.2","5"
"U.S. Election Assistance Commission","Agency Overall","2020","9","0","123","123","0"
"Millennium Challenge Corporation","Agency Overall","2020","0","0","N/A","N/A","0"
"American Battle Monuments Commission","Agency Overall","2020","0","0","N/A","N/A","0"
"Federal Election Commission","Agency Overall","2020","0","0","N/A","N/A","0"
"Department of Health and Human Services","Agency Overall","2020","648","848","4.13","6.06","1282"
"Central Intelligence Agency","Agency Overall","2020","17","23","3","5.17","21"
"Selective Service System","Agency Overall","2020","2","0","6","7","2"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","0","1","5","5","1"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","0","0","N/A","N/A","0"
"Federal Trade Commission","Agency Overall","2020","10","104","5","6.6","87"
"United States African Development Foundation","Agency Overall","2020","0","0","N/A","N/A","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","0","0","N/A","N/A","0"
"Department of Energy","Agency Overall","2020","13","46","5","9.20","45"
"Department of Housing and Urban Development","Agency Overall","2020","27","36","5.00","12.06","44"
"U.S. Agency for International Development","Agency Overall","2020","22","25","1","1.85","47"
"Department of Veterans Affairs","Agency Overall","2020","42","75","3","39.58","87"
"U.S. Department of State","Agency Overall","2020","143","613","7","25.64","444"
"Court Services and Offender Supervision Agency","Agency Overall","2020","0","0","N/A","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2020","0","0","N/A","N/A","0"
"National Endowment for the Arts","Agency Overall","2020","0","1","7","7","1"
"Equal Employment Opportunity Commission","Agency Overall","2020","4","1","10","11.25","4"
"Export-Import Bank of the U.S.","Agency Overall","2020","1","1","13","13","1"
"Office of Personnel Management","Agency Overall","2020","0","0","N/A","N/A","0"
"Department of Labor","Agency Overall","2020","99","533","21","75.6","213"
"Federal Mediation and Conciliation Service","Agency Overall","2020","0","1","2","2","1"
"Federal Deposit Insurance Corporation","Agency Overall","2020","7","12","3","5.32","17"
"National Aeronautics and Space Administration","Agency Overall","2020","0","63","1","10","51"
"Advisory Council on Historic Preservation","Agency Overall","2020","0","0","N/A","N/A","0"
"Postal Regulatory Commission","Agency Overall","2020","0","0","N/A","N/A","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","0","0","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2020","0","5","<1","<1","5"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","0","0","N/A","N/A","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","0","0","N/A","N/A","0"
"Department of Defense","Agency Overall","2020","755","2420","3.5","7.06","2293"
"Environmental Protection Agency","Agency Overall","2020","13","398","13","21.06","171"
"Federal Housing Finance Agency","Agency Overall","2020","3","6","4","7","7"
"National Council on Disability","Agency Overall","2020","9","0","2","2","9"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","0","0","N/A","N/A","0"
"U.S. Agency for Global Media","Agency Overall","2020","0","2","6.5","6.5","2"
"Farm Credit System Insurance Corporation","Agency Overall","2020","0","0","N/A","N/A","0"
"National Endowment for the Humanities","Agency Overall","2020","0","2","3.5","3.5","2"
"All agencies","Agency Overall","2020","3926","22550","N/A","N/A","NaN"
