"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"National Archives and Records Administration","Agency Overall","2020","0","5","4","1"
"Department of Education","Agency Overall","2020","4","33","31","6"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2020","0","0","0","0"
"National Labor Relations Board","Agency Overall","2020","0","0","0","0"
"Department of the Treasury","Agency Overall","2020","29","118","123","24"
"U.S. Railroad Retirement Board","Agency Overall","2020","0","0","0","0"
"Commission of Fine Arts","Agency Overall","2020","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2020","0","0","0","0"
"United States Access Board","Agency Overall","2020","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2020","0","21","21","0"
"Occupational Safety and Health Review Commission","Agency Overall","2020","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2020","21","90","81","30"
"Federal Communications Commission","Agency Overall","2020","1","2","3","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","0","1","1","0"
"Department of Commerce","Agency Overall","2020","39","122","116","45"
"Office of National Drug Control Policy","Agency Overall","2020","0","5","5","0"
"National Credit Union Administration","Agency Overall","2020","0","3","2","1"
"United States Copyright Office","Agency Overall","2020","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","0","2","2","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2020","0","4","4","0"
"U.S. International Development Finance Corporation","Agency Overall","2020","0","8","8","0"
"United States Postal Service","Agency Overall","2020","4","23","26","1"
"Small Business Administration","Agency Overall","2020","1","10","5","6"
"Appraisal Subcommittee","Agency Overall","2020","0","0","0","0"
"Surface Transportation Board","Agency Overall","2020","0","0","0","0"
"Social Security Administration","Agency Overall","2020","0","10","9","1"
"Marine Mammal Commission","Agency Overall","2020","0","2","2","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","0","0","0","0"
"National Mediation Board","Agency Overall","2020","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2020","0","0","0","0"
"Office of Government Ethics","Agency Overall","2020","0","10","10","0"
"Office of Management and Budget","Agency Overall","2020","27","125","132","20"
"Farm Credit Administration","Agency Overall","2020","0","0","0","0"
"National Science Foundation","Agency Overall","2020","0","5","4","1"
"Merit Systems Protection Board","Agency Overall","2020","0","0","0","0"
"United States Institute of Peace","Agency Overall","2020","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2020","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2020","3","16","18","1"
"Administrative Conference of the United States","Agency Overall","2020","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2020","6","10","16","0"
"U.S. Election Assistance Commission","Agency Overall","2020","0","1","1","0"
"Millennium Challenge Corporation","Agency Overall","2020","0","4","4","0"
"American Battle Monuments Commission","Agency Overall","2020","0","0","0","0"
"Federal Election Commission","Agency Overall","2020","0","2","2","0"
"Department of Health and Human Services","Agency Overall","2020","78","211","165","124"
"Central Intelligence Agency","Agency Overall","2020","709","298","517","490"
"Selective Service System","Agency Overall","2020","0","4","4","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","0","0","0","0"
"Federal Trade Commission","Agency Overall","2020","0","8","8","0"
"United States African Development Foundation","Agency Overall","2020","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","0","1","0","1"
"Department of Energy","Agency Overall","2020","163","150","111","202"
"Department of Housing and Urban Development","Agency Overall","2020","1","18","17","2"
"U.S. Agency for International Development","Agency Overall","2020","1","35","29","7"
"Department of Veterans Affairs","Agency Overall","2020","6","15","15","6"
"U.S. Department of State","Agency Overall","2020","224","111","93","242"
"Court Services and Offender Supervision Agency","Agency Overall","2020","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2020","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2020","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2020","3","11","14","0"
"Export-Import Bank of the U.S.","Agency Overall","2020","1","3","4","0"
"Office of Personnel Management","Agency Overall","2020","1","8","9","0"
"Department of Labor","Agency Overall","2020","13","75","76","12"
"Federal Mediation and Conciliation Service","Agency Overall","2020","0","3","3","0"
"Federal Deposit Insurance Corporation","Agency Overall","2020","1","9","10","0"
"National Aeronautics and Space Administration","Agency Overall","2020","3","23","24","2"
"Advisory Council on Historic Preservation","Agency Overall","2020","0","4","4","0"
"Postal Regulatory Commission","Agency Overall","2020","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","0","0","0","0"
"Peace Corps","Agency Overall","2020","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","0","3","3","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","0","0","0","0"
"Department of Defense","Agency Overall","2020","1415","1172","1086","1501"
"Environmental Protection Agency","Agency Overall","2020","21","44","35","30"
"Federal Housing Finance Agency","Agency Overall","2020","0","5","5","0"
"National Council on Disability","Agency Overall","2020","0","1","1","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2020","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2020","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2020","0","0","0","0"
"All agencies","Agency Overall","2020","3664","5054","5043","3675"
