"Agency","Component","Fiscal Year","Number of Records Posted by the FOIA Office","Number of Records Posted by Program Offices"
"Court Services and Offender Supervision Agency","Agency Overall","2020","",""
"Institute of Museum and Library Services","Agency Overall","2020","",""
"National Endowment for the Arts","Agency Overall","2020","",""
"Equal Employment Opportunity Commission","Agency Overall","2020","",""
"Export-Import Bank of the U.S.","Agency Overall","2020","",""
"Office of Personnel Management","Agency Overall","2020","",""
"Department of Labor","Agency Overall","2020","",""
"Federal Mediation and Conciliation Service","Agency Overall","2020","",""
"Federal Deposit Insurance Corporation","Agency Overall","2020","",""
"National Aeronautics and Space Administration","Agency Overall","2020","",""
"Advisory Council on Historic Preservation","Agency Overall","2020","",""
"Postal Regulatory Commission","Agency Overall","2020","",""
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","",""
"Peace Corps","Agency Overall","2020","",""
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","",""
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","",""
"Department of Defense","Agency Overall","2020","",""
"Environmental Protection Agency","Agency Overall","2020","",""
"Federal Housing Finance Agency","Agency Overall","2020","",""
"National Council on Disability","Agency Overall","2020","",""
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","",""
"U.S. Agency for Global Media","Agency Overall","2020","",""
"Farm Credit System Insurance Corporation","Agency Overall","2020","",""
"National Endowment for the Humanities","Agency Overall","2020","",""
"All agencies","Agency Overall","2020","NaN","NaN"
