"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Department of Homeland Security","Agency Overall","2020","1714","2461","1827","849","6851"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","0","0","0","0","0"
"Denali Commission","Agency Overall","2020","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2020","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2020","0","0","0","1","1"
"National Archives and Records Administration","Agency Overall","2020","37","10","4","5","56"
"Department of Education","Agency Overall","2020","26","31","9","16","82"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2020","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2020","7","4","0","7","18"
"Department of the Treasury","Agency Overall","2020","166","6","8","32","212"
"U.S. Railroad Retirement Board","Agency Overall","2020","0","0","0","0","0"
"Commission of Fine Arts","Agency Overall","2020","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2020","0","0","0","0","0"
"United States Access Board","Agency Overall","2020","1","0","0","0","1"
"Office of the United States Trade Representative","Agency Overall","2020","2","6","0","0","8"
"Occupational Safety and Health Review Commission","Agency Overall","2020","2","0","0","0","2"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","2","0","0","0","2"
"Office of the Director of National Intelligence","Agency Overall","2020","9","0","0","36","45"
"Federal Communications Commission","Agency Overall","2020","0","0","0","18","18"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","1","0","0","0","1"
"Department of Commerce","Agency Overall","2020","59","9","20","7","95"
"Office of National Drug Control Policy","Agency Overall","2020","1","0","0","0","1"
"National Credit Union Administration","Agency Overall","2020","4","0","0","0","4"
"United States Copyright Office","Agency Overall","2020","6","0","0","0","6"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","1","0","0","2","3"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2020","0","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2020","0","0","0","0","0"
"United States Postal Service","Agency Overall","2020","71","24","26","12","133"
"Small Business Administration","Agency Overall","2020","3","22","13","4","42"
"Appraisal Subcommittee","Agency Overall","2020","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2020","0","0","0","0","0"
"Social Security Administration","Agency Overall","2020","129","57","78","37","301"
"Marine Mammal Commission","Agency Overall","2020","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","0","0","0","0","0"
"National Mediation Board","Agency Overall","2020","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2020","6","0","1","19","26"
"Office of Government Ethics","Agency Overall","2020","1","2","0","0","3"
"Office of Management and Budget","Agency Overall","2020","0","0","0","1","1"
"Farm Credit Administration","Agency Overall","2020","0","0","0","1","1"
"National Science Foundation","Agency Overall","2020","3","1","0","0","4"
"Merit Systems Protection Board","Agency Overall","2020","9","6","0","10","25"
"United States Institute of Peace","Agency Overall","2020","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2020","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2020","2","2","0","0","4"
"Administrative Conference of the United States","Agency Overall","2020","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2020","1","0","0","0","1"
"U.S. Election Assistance Commission","Agency Overall","2020","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2020","1","0","0","0","1"
"American Battle Monuments Commission","Agency Overall","2020","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2020","5","0","0","2","7"
"Department of Health and Human Services","Agency Overall","2020","13","3","21","204","241"
"Central Intelligence Agency","Agency Overall","2020","24","6","1","82","113"
"Selective Service System","Agency Overall","2020","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","0","0","1","0","1"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2020","16","3","1","2","22"
"United States African Development Foundation","Agency Overall","2020","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","0","0","0","0","0"
"Department of Energy","Agency Overall","2020","22","4","2","18","46"
"Department of Housing and Urban Development","Agency Overall","2020","12","2","10","41","65"
"U.S. Agency for International Development","Agency Overall","2020","6","3","0","4","13"
"Department of Veterans Affairs","Agency Overall","2020","140","14","93","183","430"
"U.S. Department of State","Agency Overall","2020","100","19","42","82","243"
"Court Services and Offender Supervision Agency","Agency Overall","2020","0","2","0","0","2"
"Institute of Museum and Library Services","Agency Overall","2020","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2020","1","0","0","0","1"
"Equal Employment Opportunity Commission","Agency Overall","2020","44","25","56","150","275"
"Export-Import Bank of the U.S.","Agency Overall","2020","1","0","0","0","1"
"Office of Personnel Management","Agency Overall","2020","3","11","2","13","29"
"Department of Labor","Agency Overall","2020","45","14","17","99","175"
"Federal Mediation and Conciliation Service","Agency Overall","2020","1","0","0","0","1"
"Federal Deposit Insurance Corporation","Agency Overall","2020","4","1","0","0","5"
"National Aeronautics and Space Administration","Agency Overall","2020","9","8","3","14","34"
"Advisory Council on Historic Preservation","Agency Overall","2020","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2020","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","0","0","0","0","0"
"Peace Corps","Agency Overall","2020","2","1","3","0","6"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","0","1","3","0","4"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","0","0","0","0","0"
"Department of Defense","Agency Overall","2020","411","63","128","300","902"
"Environmental Protection Agency","Agency Overall","2020","66","55","63","55","239"
"Federal Housing Finance Agency","Agency Overall","2020","2","1","0","0","3"
"National Council on Disability","Agency Overall","2020","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","1","0","0","0","1"
"U.S. Agency for Global Media","Agency Overall","2020","1","0","0","0","1"
"Farm Credit System Insurance Corporation","Agency Overall","2020","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2020","0","0","0","0","0"
"All agencies","Agency Overall","2020","5631","3348","2861","3404","15244"
