"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"United States Access Board","Agency Overall","2020","0","1","1","0"
"Office of the United States Trade Representative","Agency Overall","2020","0","8","8","0"
"Occupational Safety and Health Review Commission","Agency Overall","2020","0","2","2","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","0","3","2","1"
"Office of the Director of National Intelligence","Agency Overall","2020","24","25","45","4"
"Federal Communications Commission","Agency Overall","2020","3","25","18","10"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","0","1","1","0"
"Department of Commerce","Agency Overall","2020","93","87","95","85"
"Office of National Drug Control Policy","Agency Overall","2020","0","1","1","0"
"National Credit Union Administration","Agency Overall","2020","0","4","4","0"
"United States Copyright Office","Agency Overall","2020","1","5","6","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","3","1","3","1"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2020","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2020","0","0","0","0"
"United States Postal Service","Agency Overall","2020","13","149","133","29"
"Small Business Administration","Agency Overall","2020","2","61","42","21"
"Appraisal Subcommittee","Agency Overall","2020","0","0","0","0"
"Surface Transportation Board","Agency Overall","2020","0","0","0","0"
"Social Security Administration","Agency Overall","2020","15","297","301","11"
"Marine Mammal Commission","Agency Overall","2020","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","0","0","0","0"
"National Mediation Board","Agency Overall","2020","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2020","0","27","26","1"
"Office of Government Ethics","Agency Overall","2020","0","3","3","0"
"Office of Management and Budget","Agency Overall","2020","5","6","1","10"
"Farm Credit Administration","Agency Overall","2020","0","1","1","0"
"National Science Foundation","Agency Overall","2020","0","4","4","0"
"Merit Systems Protection Board","Agency Overall","2020","3","24","25","2"
"United States Institute of Peace","Agency Overall","2020","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2020","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2020","2","3","4","1"
"Administrative Conference of the United States","Agency Overall","2020","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2020","0","1","1","0"
"U.S. Election Assistance Commission","Agency Overall","2020","1","0","0","1"
"Millennium Challenge Corporation","Agency Overall","2020","0","1","1","0"
"American Battle Monuments Commission","Agency Overall","2020","0","0","0","0"
"Federal Election Commission","Agency Overall","2020","1","8","7","2"
"Department of Health and Human Services","Agency Overall","2020","550","425","241","734"
"Central Intelligence Agency","Agency Overall","2020","256","178","113","321"
"Selective Service System","Agency Overall","2020","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","0","1","1","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","0","0","0","0"
"Federal Trade Commission","Agency Overall","2020","1","24","22","3"
"United States African Development Foundation","Agency Overall","2020","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","0","0","0","0"
"Department of Energy","Agency Overall","2020","12","47","46","13"
"Department of Housing and Urban Development","Agency Overall","2020","1","71","65","7"
"U.S. Agency for International Development","Agency Overall","2020","3","12","13","2"
"Department of Veterans Affairs","Agency Overall","2020","151","369","430","90"
"U.S. Department of State","Agency Overall","2020","242","258","243","257"
"Court Services and Offender Supervision Agency","Agency Overall","2020","1","1","2","0"
"Institute of Museum and Library Services","Agency Overall","2020","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2020","0","1","1","0"
"Equal Employment Opportunity Commission","Agency Overall","2020","30","261","275","16"
"Export-Import Bank of the U.S.","Agency Overall","2020","0","1","1","0"
"Office of Personnel Management","Agency Overall","2020","9","21","29","1"
"Department of Labor","Agency Overall","2020","266","179","175","270"
"Federal Mediation and Conciliation Service","Agency Overall","2020","0","1","1","0"
"Federal Deposit Insurance Corporation","Agency Overall","2020","0","6","5","1"
"National Aeronautics and Space Administration","Agency Overall","2020","11","24","34","1"
"Advisory Council on Historic Preservation","Agency Overall","2020","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2020","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","0","0","0","0"
"Peace Corps","Agency Overall","2020","0","6","6","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","0","4","4","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","0","0","0","0"
"Department of Defense","Agency Overall","2020","897","1025","902","1020"
"Environmental Protection Agency","Agency Overall","2020","68","180","239","9"
"Federal Housing Finance Agency","Agency Overall","2020","0","4","3","1"
"National Council on Disability","Agency Overall","2020","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","0","1","1","0"
"U.S. Agency for Global Media","Agency Overall","2020","0","2","1","1"
"Farm Credit System Insurance Corporation","Agency Overall","2020","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2020","0","0","0","0"
"All agencies","Agency Overall","2020","6079","14943","15244","5778"
