"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"United States Access Board","Agency Overall","2020","1","134","134","0","N/A","N/A","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2020","7","12","7","5","14","57","0","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2020","4","2","3.25","2","185","185","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","0","N/A","N/A","25","371","383.6","0","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2020","115","478","566.30","594","578","625.63","0","N/A","N/A"
"Federal Communications Commission","Agency Overall","2020","27","7","10.26","20","183","256.95","4","33","147.75"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","2","11.5","11.5","3","1","31.7","0","N/A","N/A"
"Department of Commerce","Agency Overall","2020","295","17","47.85","432","58","149.77","38","249.5","132.16"
"Office of National Drug Control Policy","Agency Overall","2020","1","7","7","25","288","331","0","0","0"
"National Credit Union Administration","Agency Overall","2020","0","N/A","N/A","17","21","24.06","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2020","0","N/A","N/A","5","474","341.6","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","0","N/A","N/A","77","329","346.5","0","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","0","N/A","N/A","25","328","425","0","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2020","32","778","739","9","81","66","4","160","157"
"U.S. International Development Finance Corporation","Agency Overall","2020","18","42","40.6","25","98","127.32","9","79","82.4"
"United States Postal Service","Agency Overall","2020","264","11","31","39","40","129","14","15","15"
"Small Business Administration","Agency Overall","2020","693","16","33.96","0","N/A","N/A","7","18","18.57"
"Appraisal Subcommittee","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Social Security Administration","Agency Overall","2020","1812","51","51","96","34","67","0","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2020","1","40","40","2","81","81","0","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Mediation Board","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2020","17","50","44","278","135.5","151","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2020","28","58","119.5","0","N/A","N/A","5","58","84"
"Office of Management and Budget","Agency Overall","2020","332","136","132","336","523","517","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Science Foundation","Agency Overall","2020","72","329","410","294","320","358","1","14","14"
"Merit Systems Protection Board","Agency Overall","2020","17","587","550.18","37","343","473.76","0","N/A","N/A"
"United States Institute of Peace","Agency Overall","2020","0","N/A","N/A","4","233","224","0","N/A","N/A"
"Social Security Advisory Board","Agency Overall","2020","1","137","137","0","N/A","N/A","0","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2020","17","163","256.47","39","427","438.10","0","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2020","62","380","398.86","37","176","235.45","3","454","576.33"
"U.S. Election Assistance Commission","Agency Overall","2020","16","113","150","17","183","203","6","36","37"
"Millennium Challenge Corporation","Agency Overall","2020","1","63","63","0","N/A","N/A","0","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2020","2","1","1","16","306.5","366.4","0","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2020","1337","367.10","342.69","8588","232.13","308.86","437","151.11","198.99"
"Central Intelligence Agency","Agency Overall","2020","701","144","241.98","2128","479","580.61","9","130","237.67"
"Selective Service System","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2020","12","4","7.3","17","13","12","0","N/A","N/A"
"United States African Development Foundation","Agency Overall","2020","1","42","42","0","N/A","N/A","0","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Energy","Agency Overall","2020","329","154","224.75","334","284","366.95","4","245","219"
"Department of Housing and Urban Development","Agency Overall","2020","674","201.00","253.64","626","374.00","389.50","1","484.00","484.00"
"U.S. Agency for International Development","Agency Overall","2020","24","311.5","348","351","149","249","18","95.5","124"
"Department of Veterans Affairs","Agency Overall","2020","2753","144","237","1062","227","349","23","132","323"
"U.S. Department of State","Agency Overall","2020","562","323.5","427","13889","606.5","805","227","470","622"
"Court Services and Offender Supervision Agency","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2020","2","7.5","7.5","0","N/A","N/A","0","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2020","1","8","8","0","N\A","N\A","0","N\A","N\A"
"Equal Employment Opportunity Commission","Agency Overall","2020","1465","19","42.22","129","66.5","78","0","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2020","6","221","209","15","386","418","0","N/A","N/A"
"Office of Personnel Management","Agency Overall","2020","42","183","329.8","200","245","290.2","0","N/A","N/A"
"Department of Labor","Agency Overall","2020","487","71","219","1940","49","114","2","2","26"
"Federal Mediation and Conciliation Service","Agency Overall","2020","0","N/A","N/A","2","14","14","0","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2020","10","20","21","11","30","27","1","30","30"
"National Aeronautics and Space Administration","Agency Overall","2020","30","20","37.3","42","32.5","58.45","0","N/A","N/A"
"Advisory Council on Historic Preservation","Agency Overall","2020","0","N/A","N/A","1","148","148","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2020","1","29","29","0","N/A","N/A","0","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Peace Corps","Agency Overall","2020","71","149","172.35","13","148","228","0","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Defense","Agency Overall","2020","2565","18","83.5","15054","193","336.642857142857","116","112.5","184.75"
"Environmental Protection Agency","Agency Overall","2020","1203","137","265.45","986","272","357.63","18","823","754.06"
"Federal Housing Finance Agency","Agency Overall","2020","4","7.5","14.75","32","275.00","428.22","0","N/A","N/A"
"National Council on Disability","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","5","112","167","10","354","87","0","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2020","42","106","137","0","N/A","N/A","0","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2020","3","20","20","4","73.5","75.5","0","N/A","N/A"
"All agencies","Agency Overall","2020","61135","N/A","N/A","119269","N/A","N/A","2086","N/A","N/A"
