"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Office of National Drug Control Policy","Agency Overall","2020","9","21","0","16","0","2","0","0","0","0","0","0","48"
"National Credit Union Administration","Agency Overall","2020","32","77","11","11","0","2","0","0","0","1","0","0","134"
"United States Copyright Office","Agency Overall","2020","2","2","0","12","29","0","0","3","0","7","0","0","55"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","6","32","3","12","1","4","0","3","7","0","2","10","80"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","28","3","0","3","0","1","0","0","3","1","0","0","39"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","1","0","0","2","0","0","0","0","0","0","0","0","3"
"United States Trade and Development Agency","Agency Overall","2020","1","1","0","6","0","0","0","0","0","0","0","0","8"
"U.S. International Development Finance Corporation","Agency Overall","2020","6","19","0","16","0","3","0","3","1","0","0","0","48"
"United States Postal Service","Agency Overall","2020","577","623","573","454","526","57","61","88","249","103","56","5","3372"
"Small Business Administration","Agency Overall","2020","1639","624","17","207","2","337","16","33","28","29","88","0","3020"
"Appraisal Subcommittee","Agency Overall","2020","2","0","0","1","0","1","0","3","0","0","0","0","7"
"Surface Transportation Board","Agency Overall","2020","10","3","1","11","0","3","0","1","0","0","0","0","29"
"Social Security Administration","Agency Overall","2020","4792","1659","310","732","69","48","332","47","59","71","24","0","8143"
"Marine Mammal Commission","Agency Overall","2020","3","0","0","1","0","0","0","0","0","0","0","0","4"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","4","0","0","0","0","0","0","0","0","0","0","0","4"
"National Mediation Board","Agency Overall","2020","17","0","0","0","0","0","0","0","0","0","0","0","17"
"National Transportation Safety Board","Agency Overall","2020","110","210","202","116","0","138","0","1","36","3","34","0","850"
"Office of Government Ethics","Agency Overall","2020","16","32","1","26","4","3","0","1","0","0","0","0","83"
"Office of Management and Budget","Agency Overall","2020","23","41","9","259","3","25","0","8","0","1","2","0","371"
"Farm Credit Administration","Agency Overall","2020","9","8","0","8","0","5","0","0","0","0","0","0","30"
"National Science Foundation","Agency Overall","2020","19","146","4","17","0","19","1","3","0","0","0","0","209"
"Merit Systems Protection Board","Agency Overall","2020","25","42","4","25","3","4","0","3","15","0","3","0","124"
"United States Institute of Peace","Agency Overall","2020","1","0","0","3","0","0","0","0","0","0","0","0","4"
"Social Security Advisory Board","Agency Overall","2020","4","0","0","0","0","0","0","0","0","0","0","0","4"
"Council on Environmental Quality","Agency Overall","2020","16","14","0","55","1","10","0","9","10","11","1","13","140"
"Administrative Conference of the United States","Agency Overall","2020","2","3","0","33","0","0","0","0","0","0","0","0","38"
"Office of Science and Technology Policy","Agency Overall","2020","2","33","0","9","0","24","0","0","0","0","0","0","68"
"U.S. Election Assistance Commission","Agency Overall","2020","8","2","0","11","0","0","0","0","0","0","0","0","21"
"Millennium Challenge Corporation","Agency Overall","2020","14","4","1","0","0","0","0","0","0","0","0","0","19"
"American Battle Monuments Commission","Agency Overall","2020","6","3","0","6","0","0","0","0","0","0","0","0","15"
"Federal Election Commission","Agency Overall","2020","36","49","6","44","0","5","0","4","2","1","0","1","148"
"Department of Health and Human Services","Agency Overall","2020","12365","4610","6669","3459","563","2591","955","336","2104","748","769","500","35669"
"Central Intelligence Agency","Agency Overall","2020","163","365","923","193","21","27","2","26","653","5","77","167","2622"
"Selective Service System","Agency Overall","2020","20","1","0","15","8","0","0","3","0","1","0","0","48"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","2","5","0","6","1","2","0","6","0","0","0","0","22"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","14","1","0","0","0","0","0","0","0","0","0","0","15"
"Federal Trade Commission","Agency Overall","2020","329","467","117","114","1","16","11","38","31","5","33","46","1208"
"United States African Development Foundation","Agency Overall","2020","2","0","0","2","0","0","0","0","0","0","0","0","4"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","3","0","0","3","0","0","0","0","0","0","0","0","6"
"Department of Energy","Agency Overall","2020","273","297","14","491","71","182","11","12","14","32","19","0","1416"
"Department of Housing and Urban Development","Agency Overall","2020","394","357","103","263","11","243","26","18","27","10","84","298","1834"
"U.S. Agency for International Development","Agency Overall","2020","34","108","10","39","2","47","1","4","2","14","29","9","299"
"Department of Veterans Affairs","Agency Overall","2020","3094","7939","5342","1121","111","270","62","49","343","34","187","771","19323"
"U.S. Department of State","Agency Overall","2020","124","2618","1268","1209","18","97","0","572","262","603","103","167","7041"
"Court Services and Offender Supervision Agency","Agency Overall","2020","11","165","0","20","0","6","0","5","0","0","0","0","207"
"Institute of Museum and Library Services","Agency Overall","2020","21","9","0","9","0","0","0","0","0","2","0","1","42"
"National Endowment for the Arts","Agency Overall","2020","4","23","1","8","0","1","0","0","0","2","0","0","39"
"Equal Employment Opportunity Commission","Agency Overall","2020","1006","9482","1796","1135","63","169","4","57","641","173","566","6","15098"
"Export-Import Bank of the U.S.","Agency Overall","2020","20","40","3","26","0","1","1","5","0","0","0","0","96"
"Office of Personnel Management","Agency Overall","2020","7720","89","31","106","24","25","25","28","14","75","3","0","8140"
"Department of Labor","Agency Overall","2020","1947","5426","1752","3643","291","759","197","82","218","341","989","0","15645"
"Federal Mediation and Conciliation Service","Agency Overall","2020","14","9","0","17","0","4","0","0","8","4","0","0","56"
"Federal Deposit Insurance Corporation","Agency Overall","2020","50","52","16","28","0","19","8","41","68","64","14","0","360"
"National Aeronautics and Space Administration","Agency Overall","2020","129","215","33","122","7","38","60","93","32","19","21","64","833"
"Advisory Council on Historic Preservation","Agency Overall","2020","9","3","0","6","1","0","0","0","0","0","0","0","19"
"Postal Regulatory Commission","Agency Overall","2020","5","2","0","26","3","0","0","0","0","0","0","0","36"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Peace Corps","Agency Overall","2020","58","48","2","12","9","69","0","0","6","3","0","0","207"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","2","7","5","3","6","0","0","3","0","0","0","0","26"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","1","1","0","2","0","0","0","0","0","0","0","0","4"
"Department of Defense","Agency Overall","2020","12429","16980","2682","5839","2049","2199","246","962","1368","1876","1653","1723","50006"
"Environmental Protection Agency","Agency Overall","2020","3881","1457","64","945","8","730","50","226","17","32","233","22","7665"
"Federal Housing Finance Agency","Agency Overall","2020","14","40","12","35","0","3","0","2","9","1","0","0","116"
"National Council on Disability","Agency Overall","2020","1","3","0","7","0","0","0","0","0","5","0","0","16"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","4","0","0","22","1","0","0","0","0","0","0","0","27"
"U.S. Agency for Global Media","Agency Overall","2020","4","7","1","12","0","3","0","1","0","0","0","0","28"
"Farm Credit System Insurance Corporation","Agency Overall","2020","1","3","0","6","0","1","0","0","0","0","0","0","11"
"National Endowment for the Humanities","Agency Overall","2020","15","88","0","13","0","15","0","0","0","0","0","0","131"
"All agencies","Agency Overall","2020","167080","321293","37741","125589","8494","15729","3447","7143","45473","7517","26262","7101","772869"
