"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Commission of Fine Arts","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2020","0","0","0","0","3","4","0","0","1","0","0","0","0","0"
"United States Access Board","Agency Overall","2020","0","0","1","4","9","11","1","0","0","0","0","3","0","0"
"Office of the United States Trade Representative","Agency Overall","2020","4","0","9","21","30","77","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2020","0","0","0","3","0","13","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","0","0","0","1","2","1","17","0","0","0","10","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2020","32","0","218","1","5","34","5","0","2","0","1","0","0","0"
"Federal Communications Commission","Agency Overall","2020","0","1","0","28","49","190","17","0","19","8","27","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","0","0","0","3","3","11","3","0","2","0","0","1","0","0"
"Department of Commerce","Agency Overall","2020","0","7","83","123","374","662","18","2","61","0","32","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2020","0","0","1","0","10","19","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2020","0","7","2","43","26","76","0","0","19","0","2","0","44","0"
"United States Copyright Office","Agency Overall","2020","0","0","0","0","3","2","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","0","6","5","0","15","31","0","0","11","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","0","2","0","0","2","3","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2020","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2020","0","0","1","7","6","17","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2020","0","14","703","88","124","966","59","6","279","28","70","3","0","0"
"Small Business Administration","Agency Overall","2020","0","3","6","421","59","511","4","1","17","0","7","0","7","0"
"Appraisal Subcommittee","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2020","0","0","0","1","0","3","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2020","0","17","21","6","11","1880","1","0","8","0","11","1","0","0"
"Marine Mammal Commission","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2020","0","1","23","57","316","197","155","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2020","0","0","9","5","25","27","0","0","1","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2020","0","0","0","0","39","38","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2020","0","0","0","1","2","5","0","0","0","2","0","0","0","0"
"National Science Foundation","Agency Overall","2020","0","2","1","97","6","109","4","0","9","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2020","0","1","2","0","7","41","1","0","4","0","3","0","0","0"
"United States Institute of Peace","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2020","0","5","1","0","11","14","0","0","0","0","0","2","0","0"
"Administrative Conference of the United States","Agency Overall","2020","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2020","0","2","0","3","41","50","0","0","0","0","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2020","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2020","0","0","0","0","1","3","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2020","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2020","0","6","16","4","37","32","1","0","7","1","4","0","0","0"
"Department of Health and Human Services","Agency Overall","2020","0","18","278","1904","748","8810","1346","15","2099","49","56","66","0","0"
"Central Intelligence Agency","Agency Overall","2020","1224","6","1281","3","31","203","2","2","28","19","16","4","0","0"
"Selective Service System","Agency Overall","2020","0","1","0","0","0","3","0","0","0","0","0","1","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","0","0","0","0","1","4","0","0","0","0","1","1","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2020","0","11","144","89","114","437","115","1","17","10","4","0","0","0"
"United States African Development Foundation","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2020","2","6","25","67","69","246","3","0","43","0","13","5","0","0"
"Department of Housing and Urban Development","Agency Overall","2020","0","0","21","46","34","284","24","0","62","2","5","0","0","1"
"U.S. Agency for International Development","Agency Overall","2020","0","1","20","60","21","113","1","0","15","5","6","2","0","0"
"Department of Veterans Affairs","Agency Overall","2020","18","3","2915","207","565","12318","76","11","1691","13","32","14","3","0"
"U.S. Department of State","Agency Overall","2020","10","1","3699","5","92","554","9","2","92","6","32","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2020","0","0","0","8","89","164","1","0","158","0","98","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2020","0","0","0","1","2","6","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2020","0","0","0","20","1","22","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2020","0","0","1456","45","8662","2985","1713","0","4801","17","12","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2020","0","0","2","24","24","30","0","0","3","0","1","0","0","0"
"Office of Personnel Management","Agency Overall","2020","0","4","4","27","7","92","0","1","5","0","1","1","0","0"
"Department of Labor","Agency Overall","2020","0","46","0","2566","1633","1343","1829","36","4614","1826","820","6","0","2"
"Federal Mediation and Conciliation Service","Agency Overall","2020","0","1","0","0","1","10","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2020","0","3","2","34","9","53","5","0","7","1","8","0","19","0"
"National Aeronautics and Space Administration","Agency Overall","2020","0","16","38","107","52","166","10","0","43","3","22","13","0","1"
"Advisory Council on Historic Preservation","Agency Overall","2020","0","0","0","0","3","1","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2020","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2020","0","10","2","5","22","73","1","0","8","2","2","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","0","0","3","1","1","7","4","2","10","1","4","3","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2020","1342","180","3019","2410","4444","14052","938","276","7156","215","2063","399","0","4"
"Environmental Protection Agency","Agency Overall","2020","1","12","9","154","483","964","84","5","179","6","66","48","0","16"
"Federal Housing Finance Agency","Agency Overall","2020","0","2","0","15","12","41","9","0","24","3","21","0","7","0"
"National Council on Disability","Agency Overall","2020","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2020","0","0","0","0","3","9","0","0","1","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2020","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2020","0","0","0","15","3","86","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2020","3263","1352","64254","12650","59057","250292","9831","676","235983","5166","210751","2689","188","29"
