"Agency","Component","Fiscal Year","Number of Backlogged Appeals as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Appeals as of End of the Fiscal Year from Current Annual Report"
"Occupational Safety and Health Review Commission","Agency Overall","2020","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","0","1"
"Office of the Director of National Intelligence","Agency Overall","2020","22","4"
"Federal Communications Commission","Agency Overall","2020","3","10"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","0","0"
"Department of Commerce","Agency Overall","2020","89","79"
"Office of National Drug Control Policy","Agency Overall","2020","0","0"
"National Credit Union Administration","Agency Overall","2020","0","0"
"United States Copyright Office","Agency Overall","2020","1","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","0","1"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","0","0"
"United States Trade and Development Agency","Agency Overall","2020","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2020","0","0"
"United States Postal Service","Agency Overall","2020","1","1"
"Small Business Administration","Agency Overall","2020","2","16"
"Appraisal Subcommittee","Agency Overall","2020","0","0"
"Surface Transportation Board","Agency Overall","2020","0","0"
"Social Security Administration","Agency Overall","2020","11","5"
"Marine Mammal Commission","Agency Overall","2020","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","0","0"
"National Mediation Board","Agency Overall","2020","0","0"
"National Transportation Safety Board","Agency Overall","2020","0","0"
"Office of Government Ethics","Agency Overall","2020","0","0"
"Office of Management and Budget","Agency Overall","2020","4","10"
"Farm Credit Administration","Agency Overall","2020","0","0"
"National Science Foundation","Agency Overall","2020","0","0"
"Merit Systems Protection Board","Agency Overall","2020","2","2"
"United States Institute of Peace","Agency Overall","2020","0","0"
"Social Security Advisory Board","Agency Overall","2020","0","0"
"Council on Environmental Quality","Agency Overall","2020","1","1"
"Administrative Conference of the United States","Agency Overall","2020","0","0"
"Office of Science and Technology Policy","Agency Overall","2020","2","0"
"U.S. Election Assistance Commission","Agency Overall","2020","1","0"
"Millennium Challenge Corporation","Agency Overall","2020","0","0"
"American Battle Monuments Commission","Agency Overall","2020","0","0"
"Federal Election Commission","Agency Overall","2020","1","2"
"Department of Health and Human Services","Agency Overall","2020","514","694"
"Central Intelligence Agency","Agency Overall","2020","237","315"
"Selective Service System","Agency Overall","2020","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","0","0"
"Federal Trade Commission","Agency Overall","2020","0","0"
"United States African Development Foundation","Agency Overall","2020","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","0","0"
"Department of Energy","Agency Overall","2020","11","13"
"Department of Housing and Urban Development","Agency Overall","2020","0","0"
"U.S. Agency for International Development","Agency Overall","2020","2","1"
"Department of Veterans Affairs","Agency Overall","2020","118","66"
"U.S. Department of State","Agency Overall","2020","223","254"
"Court Services and Offender Supervision Agency","Agency Overall","2020","0","0"
"Institute of Museum and Library Services","Agency Overall","2020","0","0"
"National Endowment for the Arts","Agency Overall","2020","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2020","1","12"
"Export-Import Bank of the U.S.","Agency Overall","2020","0","0"
"Office of Personnel Management","Agency Overall","2020","8","1"
"Department of Labor","Agency Overall","2020","245","253"
"Federal Mediation and Conciliation Service","Agency Overall","2020","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2020","0","0"
"National Aeronautics and Space Administration","Agency Overall","2020","5","0"
"Advisory Council on Historic Preservation","Agency Overall","2020","0","0"
"Postal Regulatory Commission","Agency Overall","2020","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","0","0"
"Peace Corps","Agency Overall","2020","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","0","0"
"Department of Defense","Agency Overall","2020","893","954"
"Environmental Protection Agency","Agency Overall","2020","132","1"
"Federal Housing Finance Agency","Agency Overall","2020","0","1"
"National Council on Disability","Agency Overall","2020","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","0","0"
"U.S. Agency for Global Media","Agency Overall","2020","0","1"
"Farm Credit System Insurance Corporation","Agency Overall","2020","0","0"
"National Endowment for the Humanities","Agency Overall","2020","0","0"
"All agencies","Agency Overall","2020","5141","5072"
