"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"United States International Trade Commission","Agency Overall","2020","3","30","33","0"
"Department of Homeland Security","Agency Overall","2020","63374","397671","392623","68422"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","4","29","29","4"
"Denali Commission","Agency Overall","2020","0","11","11","0"
"National Indian Gaming Commission","Agency Overall","2020","2","29","27","4"
"National Railroad Passenger Corporation","Agency Overall","2020","137","234","233","138"
"National Archives and Records Administration","Agency Overall","2020","3494","25738","25721","3511"
"Department of Education","Agency Overall","2020","1114","2384","2537","961"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","0","25","25","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","4","7","11","0"
"National Capital Planning Commission","Agency Overall","2020","0","9","9","0"
"National Labor Relations Board","Agency Overall","2020","113","1327","1393","47"
"Department of the Treasury","Agency Overall","2020","2142","11916","11260","2798"
"U.S. Railroad Retirement Board","Agency Overall","2020","2","79","80","1"
"Commission of Fine Arts","Agency Overall","2020","0","10","10","0"
"U.S. Commission on Civil Rights","Agency Overall","2020","0","42","42","0"
"United States Access Board","Agency Overall","2020","8","24","31","1"
"Office of the United States Trade Representative","Agency Overall","2020","12","155","155","12"
"Occupational Safety and Health Review Commission","Agency Overall","2020","20","94","108","6"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","28","93","90","31"
"Office of the Director of National Intelligence","Agency Overall","2020","588","527","406","709"
"Federal Communications Commission","Agency Overall","2020","59","572","579","52"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","8","43","46","5"
"Department of Commerce","Agency Overall","2020","1264","2017","2108","1173"
"Office of National Drug Control Policy","Agency Overall","2020","21","53","48","26"
"National Credit Union Administration","Agency Overall","2020","19","132","134","17"
"United States Copyright Office","Agency Overall","2020","10","50","55","5"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","82","75","80","77"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","1","39","39","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","14","16","3","27"
"United States Trade and Development Agency","Agency Overall","2020","28","25","8","45"
"U.S. International Development Finance Corporation","Agency Overall","2020","6","94","48","52"
"United States Postal Service","Agency Overall","2020","206","3575","3372","409"
"Small Business Administration","Agency Overall","2020","86","4529","3020","1595"
"Appraisal Subcommittee","Agency Overall","2020","0","7","7","0"
"Surface Transportation Board","Agency Overall","2020","0","29","29","0"
"Social Security Administration","Agency Overall","2020","363","9688","8143","1908"
"Marine Mammal Commission","Agency Overall","2020","2","5","4","3"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","0","4","4","0"
"National Mediation Board","Agency Overall","2020","0","17","17","0"
"National Transportation Safety Board","Agency Overall","2020","573","573","850","296"
"Office of Government Ethics","Agency Overall","2020","32","84","83","33"
"Office of Management and Budget","Agency Overall","2020","601","438","371","668"
"Farm Credit Administration","Agency Overall","2020","2","28","30","0"
"National Science Foundation","Agency Overall","2020","319","259","209","369"
"Merit Systems Protection Board","Agency Overall","2020","52","127","124","55"
"United States Institute of Peace","Agency Overall","2020","0","8","4","4"
"Social Security Advisory Board","Agency Overall","2020","0","5","4","1"
"Council on Environmental Quality","Agency Overall","2020","42","166","140","68"
"Administrative Conference of the United States","Agency Overall","2020","0","38","38","0"
"Office of Science and Technology Policy","Agency Overall","2020","86","84","68","102"
"U.S. Election Assistance Commission","Agency Overall","2020","11","49","21","39"
"Millennium Challenge Corporation","Agency Overall","2020","1","19","19","1"
"American Battle Monuments Commission","Agency Overall","2020","1","14","15","0"
"Federal Election Commission","Agency Overall","2020","61","105","148","18"
"Department of Health and Human Services","Agency Overall","2020","9397","36825","35669","10553"
"Central Intelligence Agency","Agency Overall","2020","2628","2896","2622","2902"
"Selective Service System","Agency Overall","2020","0","48","48","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","2","20","22","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","0","15","15","0"
"Federal Trade Commission","Agency Overall","2020","64","1177","1208","33"
"United States African Development Foundation","Agency Overall","2020","1","4","4","1"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","0","7","6","1"
"Department of Energy","Agency Overall","2020","639","1453","1416","676"
"Department of Housing and Urban Development","Agency Overall","2020","1177","2038","1834","1381"
"U.S. Agency for International Development","Agency Overall","2020","271","427","299","399"
"Department of Veterans Affairs","Agency Overall","2020","4476","19053","19323","4206"
"U.S. Department of State","Agency Overall","2020","12866","9019","7041","14844"
"Court Services and Offender Supervision Agency","Agency Overall","2020","0","207","207","0"
"Institute of Museum and Library Services","Agency Overall","2020","5","39","42","2"
"National Endowment for the Arts","Agency Overall","2020","1","39","39","1"
"Equal Employment Opportunity Commission","Agency Overall","2020","746","16287","15098","1935"
"Export-Import Bank of the U.S.","Agency Overall","2020","38","79","96","21"
"Office of Personnel Management","Agency Overall","2020","259","8123","8140","242"
"Department of Labor","Agency Overall","2020","2414","15820","15645","2589"
"Federal Mediation and Conciliation Service","Agency Overall","2020","0","58","56","2"
"Federal Deposit Insurance Corporation","Agency Overall","2020","18","371","360","29"
"National Aeronautics and Space Administration","Agency Overall","2020","76","841","833","84"
"Advisory Council on Historic Preservation","Agency Overall","2020","8","12","19","1"
"Postal Regulatory Commission","Agency Overall","2020","0","37","36","1"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","0","1","1","0"
"Peace Corps","Agency Overall","2020","134","160","207","87"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","0","27","26","1"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","0","4","4","0"
"Department of Defense","Agency Overall","2020","18396","54023","50006","22413"
"Environmental Protection Agency","Agency Overall","2020","3095","6891","7665","2321"
"Federal Housing Finance Agency","Agency Overall","2020","33","120","116","37"
"National Council on Disability","Agency Overall","2020","1","15","16","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","13","29","27","15"
"U.S. Agency for Global Media","Agency Overall","2020","14","60","28","46"
"Farm Credit System Insurance Corporation","Agency Overall","2020","0","11","11","0"
"National Endowment for the Humanities","Agency Overall","2020","1","137","131","7"
"All agencies","Agency Overall","2020","186146","790688","772869","203965"
