"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Consumer Product Safety Commission","Agency Overall","2020","15 U.S.C. § 2055(b)(1)(Consumer Product Safety Act)","Consumer Prod. Safety Comm’n v. GTE Sylvania, Inc., 447 U.S. 102, 122 (1980) (15 U.S.C. § 2055(b)(1)); Mulloy v. Consumer Prods. Safety Comm’n, No. 85-3720, 1986 WL 17283, at *1 (6th Cir. July 22, 1986) (per curiam) (unpublished disposition) (15 U.S.C. § 2055(a)(2) and 15 U.S.C. § 2055(b)(5)); Reliance Elec. Co. v. Consumer Prod. Safety Comm’n, No. 87-1478, slip op. at 16-17 (D.D.C. Sept. 19, 1989) (15 U.S.C. § 2055(b)(5)).","Certain information reported to, or otherwise obtained by, the Consumer Product Safety Commission which either contains or relates to a trade secret or is “subject to section 552(b)(4) of Title 5”","36"
"Consumer Product Safety Commission","Agency Overall","2020","15 U.S.C. § 2055(e)(1)","N/A","Information submitted under statutory reporting requirement for certain consumer products involved in product liability actions","1"
"Consumer Product Safety Commission","Agency Overall","2020","15 U.S.C. § 2055(b)(5)(Consumer Product Safety Act)","Consumer Prod. Safety Comm’n v. GTE Sylvania, Inc., 447 U.S. 102, 122 (1980) (15 U.S.C. § 2055(b)(1)); Mulloy v. Consumer Prods. Safety Comm’n, No. 85-3720, 1986 WL 17283, at *1 (6th Cir. July 22, 1986) (per curiam) (unpublished disposition) (15 U.S.C. § 2055(a)(2) and 15 U.S.C. § 2055(b)(5)); Reliance Elec. Co. v. Consumer Prod. Safety Comm’n, No. 87-1478, slip op. at 16-17 (D.D.C. Sept. 19, 1989) (15 U.S.C. § 2055(b)(5)).","Certain information reported to, or otherwise obtained by, the Consumer Product Safety Commission which either contains or relates to a trade secret or is “subject to section 552(b)(4) of Title 5”","6"
"Nuclear Regulatory Commission","Agency Overall","2020","54 U.S.C. § 307103","N/A","Information about the location, character, or ownership of a historic property","1"
"Nuclear Regulatory Commission","Agency Overall","2020","16 U.S.C §824o-1(d)","N/A","Critical Energy/Electric Infrastructure Information (CEII)","1"
"Nuclear Regulatory Commission","Agency Overall","2020","42 U.S.C. §§ 2162, 2167, 2168(a)(1)(Atomic Energy Act)","Meeropol v. Meese, 790 F.2d 942 (D.C. Cir. 1986); Va. Sunshine All. v. NRC, 509 F. Supp. 863 (D.D.C 1981), aff'd per curiam on other grounds, 669 F.2d 788 (D.C. Cir. 1981).","Certain Safeguards Information","1"
"Inter-American Foundation","Agency Overall","2020","N/A","N/A","N/A","0"
"United States International Boundary and Water Commission","Agency Overall","2020","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))","Legal & Safety Emp. Rsch., Inc. v. U.S. Dep’t of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","1"
"Legal Services Corporation","Agency Overall","2020","N/A","N/A","N/A","0"
"Department of Justice","Agency Overall","2020","5 U.S.C. app. § 107(a)(2)","Meyerhoff v. EPA, 958 F.2d 1498, 1500- 02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Attys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees","1"
"Department of Justice","Agency Overall","2020","8 U.S.C. § 1202(f)","Medina-Hincapie v. Dep't of State, 700 F.2d 737, 741-42 (D.C. Cir. 1983); DeLaurentiis v. Haig, 686 F.2d 192, 194 (3d Cir. 1982); Assadi v. Dep't of State, No. 12-1111, 2014 WL 4704840, at *6 (S.D.N.Y. Sept. 19, 2014); Beltranena v. U.S. Dep't of State, 821 F. Supp. 2d 167, 177-78 (D.D.C. 2011); Badalamenti v. U.S. Dep't of State, 899 F. Supp. 542, 547 (D. Kan. 1995); Jan-Xin Zang v. FBI, 756 F. Supp. 705, 711-12 (W.D.N.Y. 1991); Smith v. DOJ, No. 81-CV-813, 1983 U.S. Dist. LEXIS 10878, at *13-14 (N.D.N.Y. Dec. 13, 1983).","Certain records pertaining to the issuance or refusal of visas to enter the United States","1"
"Department of Justice","Agency Overall","2020","10 U.S.C. § 130(a)","Newport Aeronautical Sales v. Dep't of the Air Force, 684 F.3d 160, 168 (D.C. Cir. 2012); Chenkin v. Dep't of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff'd, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).","Certain ""technical data with military or space application in the possession of, or under the control of, the Department of Defense""","1"
"Department of Justice","Agency Overall","2020","10 U.S.C. § 130b","Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Hiken v. DOD, 521 F. Supp. 2d 1047, 1062
(N.D. Cal. 2007); O'Keefe v. DOD, 463 F. Supp. 2d 317, 325
(E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005). ","Personally identifiable information pertaining to ""any member of the armed forces assigned to an overseas unit, a sensitive unit, or a routinely deployable unit"" and ""any employee of the Department of Defense or of the Coast Guard whose duty station is with any such unit""","1"
"Department of Justice","Agency Overall","2020","10 U.S.C. § 424","Hamdan v. DOJ, 797 F.3d 759, 776 (9th Cir. 2015); Freedom
Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Wickwire Gavin, P.C. v. Def. Intel. Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004). ","Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","2"
"Department of Justice","Agency Overall","2020","10 U.S.C. § 2305(g)","Roman v. NSA, Nos. 09-2947, 09-4281, 09-3344, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb. 22, 2012); Margolin v. NASA, No. 09-CV-00421-LRHVPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011).","Certain contractor proposals","1"
"Department of Justice","Agency Overall","2020","15 U.S.C. § 18a(h)","N/A","Information submitted in connection with the premerger notification provisions of the Hart-Scott-Rodino Antitrust Improvements Act of 1976. ","14"
"Department of Justice","Agency Overall","2020","15 U.S.C. § 1314(g)","Motion Picture Ass'n of Am. v. DOJ, No. 80 Civ. 6612, slip op. at 1 (S.D.N.Y. Oct. 6, 1981).","""Any documentary material, answers to written interrogatories, or transcripts of oral testimony"" provided pursuant to certain civil investigative demands pertaining to antitrust investigations","11"
"Department of Justice","Agency Overall","2020","15 U.S.C. § 4305(d)","N/A","Information submitted under the National Cooperative Research and Production Act of 1993","1"
"Department of Justice","Agency Overall","2020","18 U.S.C. §§ 2510, et seq.","Payne v. DOJ, No. 96-30840, 1997 WL 450139, at *3 (5th
Cir. July 11, 1997); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991).","Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","57"
"Department of Justice","Agency Overall","2020","18 U.S.C. § 3123(d)","Labow v. DOJ, 831 F.3d 523, 527-28 (D.C. Cir. 2016); ACLU v. DOJ, 2014 WL 4954121, at *11 (N.D. Cal. Sept. 30, 2014);
Manna v. DOJ, 815 F. Supp. 798, 812 (D.N.J. 1993), aff'd on
other grounds, 51 F.3d 1158 (3d Cir. 1995).","Certain court ""order[s] authorizing or approving the installation and use of a pen register or a trap and trace device""; information pertaining to ""the existence of the pen register or trap and trace device or the existence of the investigation""","49"
"Department of Justice","Agency Overall","2020","18 U.S.C. § 3509(d)","Davis v. U.S. Postal Inspection Serv., No. 13-01972, 2014 WL 7014877, at *3 (D.D.C. Dec. 15, 2014)","Certain records containing identifying information pertaining to children involved in criminal proceedings","30"
"Department of Justice","Agency Overall","2020","18 U.S.C. § 3521(b)(1)(g)","Bonadonna v. DOJ, 791 F. Supp. 2d 269, 270 (D. Mass. 2010), aff'd, No. 10 1595, 2011 WL 4770189 (1st Cir. Jan. 7, 2011).","""[T]he identity or location of the person relocated or protected, or any other matter concerning the person or the program after weighing [various factors],"" subject to certain exceptions","5"
"Department of Justice","Agency Overall","2020","18 U.S.C. § 5038(a)","Lavado v. DEA, No. 90-5262, 1991 WL 119586, at *1 (D.C. Cir. June 28, 1991). ","Records of juvenile delinquency proceedings","10"
"Department of Justice","Agency Overall","2020","26 U.S.C. §§ 6103, 6105","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Elec. Priv. Info. Ctr. v. IRS, 910 F.3d 1232 (D.C. Cir. 2018); Leonard v. U.S. Dep't of Treasury, 590 F. App'x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002)
(26 U.S.C. § 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","140"
"Department of Justice","Agency Overall","2020","28 U.S.C. § 652(d)","Yelder v. DOD, 577 F. Supp. 2d 342, 346-47 (D.D.C. 2008).","""[C]onfidential dispute resolution communications""","1"
"Department of Justice","Agency Overall","2020","31 U.S.C. § 5311","N/A","Records and reports on monetary instruments transactions","3"
"Department of Justice","Agency Overall","2020","31 U.S.C. § 3730(b)(2)","N/A","Records pertaining to civil actions for false claims against the United States Government","6"
"Department of Justice","Agency Overall","2020","31 U.S.C. § 5319","Turner v. Dep't of Treasury, No. 15-00007, 2017 WL 1106030 at *7 (E.D. Cal. Mar. 23, 2017); Yunes v. DOJ, 263 F. Supp. 3d 82, 87 (D.D.C. 2017); Council on Am.-Islamic
Rels., Cal. v. FBI, 749 F. Supp. 2d 1104, 1117 (S.D. Cal. 2010); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff'd on other grounds, 288 F. App'x 829 (3d Cir. 2008). ","Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","10"
"Department of Justice","Agency Overall","2020","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09- CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","23"
"Department of Justice","Agency Overall","2020","41 U.S.C. § 423(a)(1)","Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","32"
"Department of Justice","Agency Overall","2020","42 U.S.C. § 300aa-12(d)(4)(A)","Long v. DOJ, 778 F. Supp. 2d 222, 234 (N.D.N.Y. 2011).","""Except as provided in subparagraph (B), information submitted to a special master or the court in a proceeding on a petition [for compensation under the National Vaccine Injury Compensation Program] . . . without the express written consent of the person who submitted the information""","14"
"Department of Justice","Agency Overall","2020","42 U.S.C. § 3789g","N/A","Data received by the Bureau of Justice Statistics and used only for statistical or research purposes","6"
"Department of Justice","Agency Overall","2020","49 U.S.C. § 114(r) (formerly at 49 U.S.C. § 114(s))","Skurow v. DHS, No. 11-1296, 2012 WL 4380895, at *9-10 (D.D.C. Sept. 26, 2012); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).","Information obtained or developed in carrying out security under the authority of the Aviation and Transportation Security Act or under chapter 449 of this title","1"
"Department of Justice","Agency Overall","2020","50 U.S.C. § 3605 (formerly at 50 U.S.C. § 402 note)","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Elec. Priv. Info. Ctr. v. NSA, 678 F.3d 926, 931 (D.C. Cir. 2012); Houghton v. NSA, 378 F. App'x 235, 238-39 (3d Cir. 2010) (per curiam); Lahr v. NTSB, 569 F.3d 964, 985 (9th Cir. 2009).","Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees","3"
"Department of Justice","Agency Overall","2020","50 U.S.C. § 3507 (formerly at 50 U.S.C. § 403g)","Assassination Archives & Rsch. Ctr. v. CIA, No. 18-5280, 2019 WL 691517 (D.C. Cir. Feb. 15, 2019) (per curiam); ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F. 3d 205 (3d Cir. 2008). ","Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""","34"
"Department of Justice","Agency Overall","2020","50 U.S.C. § 3024(i)(1) (formerly at 50 U.S.C. § 403-1(i)(1))","CIA v. Sims, 471 U.S. 159, 167 (1985).","Intelligence sources and methods","1049"
"Department of Justice","Agency Overall","2020","Fed. R. Crim. P. 6(e)","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records that would reveal some secret aspect pertaining to grand jury proceedings","585"
"Department of Justice","Agency Overall","2020","Fed. R. Crim. P. 32","DOJ v. Julian, 486 U.S. 1, 9 (1988).","Presentence reports and recommendations","87"
"Department of Justice","Agency Overall","2020","Pub. L. No. 111- 8, 123 Stat. 524","N/A","Information required to be maintained by Federal Firearms Licensees and information maintained in the ATF Firearms Tracing Systems","159"
"Department of Justice","Agency Overall","2020","6 U.S.C. § 1504(d)(3)(B)","N/A","A cyber threat indicator or defensive measure shared with the federal government under the Cybersecurity Information Sharing Act (CISA) of 2015","1"
"Department of Justice","Agency Overall","2020","6 U.S.C. § 673(a)(1)(A)","N/A","Voluntarily shared critical infrastructure information","2"
"Department of Justice","Agency Overall","2020","8 U.S.C. § 1367(a)(2)","N/A","Information that relates to an alien who is the beneficiary of certain applications for relief under the Immigration and Nationality Act.","2"
"Department of Justice","Agency Overall","2020","18 U.S.C. § 208(d)(1)","Seife v. NIH, 874 F. Supp. 2d 248, 256 (S.D.N.Y. 2012).","Providing that ""a copy of any determination granting an exemption under subsection (b)(1) or (b)(3) [from application of penalties for acts affecting personal financial interests determined to constitute bribery, graft, or conflicts of interest] shall be made available to the public,"" but exempting from this disclosure requirement ""any information contained in the determination that would be exempt from disclosure under section 552 of title 5""","2"
"Department of Justice","Agency Overall","2020","John S. McCain National Defense Authorization Act for Fiscal Year 2019, P.L. 115-232 (formerly at 50 U.S.C. § 4614(c)(1))","Wis. Project on Nuclear Arms Control v. U.S. Dep’t of Com., 317 F.3d 275, 284 (D.C. Cir. 2003); Times Publ’g Co. v. U.S. Dep’t of Com., 236 F.3d 1286, 1289-90 (11th Cir. 2001); Lessner v. U.S. Dep’t of Com., 827 F.2d 1333, 1336-37 (9th Cir. 1987) ","Information pertaining to license applications under the Export Administration Act","1"
"Department of Justice","Agency Overall","2020","Pub. L. No. 112-55, 125 Stat. 552, 609-10 (Consolidated Appropriations Act, 2012)","City of Chi. v. U.S. Dep’t of the Treasury, 423 F.3d 777, 781-82 (7th Cir. 2005); P.W. Arms, Inc. v. United States, No. 15- 1990-JCC, 2017 WL 319250, at *4 (W.D. Wash. Jan. 23, 2017); Williams v. ATF, No. PWG-15- 1969, 2017 WL 3978580 at *5- 6 (D. Md. Sept. 8, 2017); Abdeljabbar v. ATF, 74 F. Supp. 3d 158, 173 (D.D.C. 2014).","Certain firearms database information","2"
"Department of Justice","Agency Overall","2020","Treaty Between the Government of the United States of America and the Government of Panama on Mutual Assistance in Criminal Matters, Pan.-U.S. , Apr. 11, 1991, S. TREATY DOC. 102-15 (1991).","N/A","Evidence obtained by way of a treaty with a confidentiality clause.  ","1"
"Department of Justice","Agency Overall","2020","United Nations Convention Against Illicit Trafficking in Narcotic Drugs and Psychotropic Substances art.7, Dec. 20, 1988, S. TREATY DOC. 101-4, 1582 U.N.T.S. 95 (1990).","N/A","Evidence obtained by way of a treaty with a confidentiality clause.","1"
"Office of Special Counsel","Agency Overall","2020","5 U.S.C. § 1213(h) ","N/A","Identities of employees, former employees, or applicants for employment who make certain
disclosures pursuant to this section ","1"
"Office of Special Counsel","Agency Overall","2020","5 U.S.C. § 574(j)","N/A","Dispute resolution communications","2"
"Federal Maritime Commission","Agency Overall","2020","5 U.S.C. § 574(j)","N/A","Dispute resolution communications","1"
