"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"National Credit Union Administration","Agency Overall","2020","148","132","148","134"
"United States Copyright Office","Agency Overall","2020","46","50","42","55"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","71","75","41","80"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","64","39","65","39"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","19","16","8","3"
"United States Trade and Development Agency","Agency Overall","2020","19","25","19","8"
"U.S. International Development Finance Corporation","Agency Overall","2020","0","94","0","48"
"United States Postal Service","Agency Overall","2020","2972","3575","2960","3372"
"Small Business Administration","Agency Overall","2020","895","4529","923","3020"
"Appraisal Subcommittee","Agency Overall","2020","2","7","2","7"
"Surface Transportation Board","Agency Overall","2020","33","29","34","29"
"Social Security Administration","Agency Overall","2020","14987","9688","15148","8143"
"Marine Mammal Commission","Agency Overall","2020","8","5","7","4"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","9","4","9","4"
"National Mediation Board","Agency Overall","2020","11","17","11","17"
"National Transportation Safety Board","Agency Overall","2020","435","573","761","850"
"Office of Government Ethics","Agency Overall","2020","96","84","125","83"
"Office of Management and Budget","Agency Overall","2020","374","438","293","371"
"Farm Credit Administration","Agency Overall","2020","21","28","21","30"
"National Science Foundation","Agency Overall","2020","327","259","267","209"
"Merit Systems Protection Board","Agency Overall","2020","117","127","115","124"
"United States Institute of Peace","Agency Overall","2020","4","8","4","4"
"Social Security Advisory Board","Agency Overall","2020","3","5","3","4"
"Council on Environmental Quality","Agency Overall","2020","119","166","130","140"
"Administrative Conference of the United States","Agency Overall","2020","24","38","24","38"
"Office of Science and Technology Policy","Agency Overall","2020","86","84","63","68"
"U.S. Election Assistance Commission","Agency Overall","2020","30","49","17","21"
"Millennium Challenge Corporation","Agency Overall","2020","27","19","28","19"
"American Battle Monuments Commission","Agency Overall","2020","16","14","15","15"
"Federal Election Commission","Agency Overall","2020","116","105","127","148"
"Department of Health and Human Services","Agency Overall","2020","35358","36825","33817","35669"
"Central Intelligence Agency","Agency Overall","2020","2563","2896","2261","2622"
"Selective Service System","Agency Overall","2020","62","48","62","48"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","17","20","16","22"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","4","15","4","15"
"Federal Trade Commission","Agency Overall","2020","64","1177","1361","1208"
"United States African Development Foundation","Agency Overall","2020","7","4","7","4"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","9","7","9","6"
"Department of Energy","Agency Overall","2020","1855","1453","1883","1416"
"Department of Housing and Urban Development","Agency Overall","2020","2140","2038","2015","1834"
"U.S. Agency for International Development","Agency Overall","2020","290","427","304","299"
"Department of Veterans Affairs","Agency Overall","2020","21256","19053","23671","19323"
"U.S. Department of State","Agency Overall","2020","8589","9019","6545","7041"
"Court Services and Offender Supervision Agency","Agency Overall","2020","258","207","271","207"
"Institute of Museum and Library Services","Agency Overall","2020","44","39","53","42"
"National Endowment for the Arts","Agency Overall","2020","58","39","57","39"
"Equal Employment Opportunity Commission","Agency Overall","2020","17794","16287","19794","15098"
"Export-Import Bank of the U.S.","Agency Overall","2020","79","79","85","96"
"Office of Personnel Management","Agency Overall","2020","7789","8123","7794","8140"
"Department of Labor","Agency Overall","2020","16259","15820","16438","15645"
"Federal Mediation and Conciliation Service","Agency Overall","2020","36","58","54","56"
"Federal Deposit Insurance Corporation","Agency Overall","2020","345","371","341","360"
"National Aeronautics and Space Administration","Agency Overall","2020","812","841","800","833"
"Advisory Council on Historic Preservation","Agency Overall","2020","13","12","5","19"
"Postal Regulatory Commission","Agency Overall","2020","15","37","15","36"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","0","1","0","1"
"Peace Corps","Agency Overall","2020","132","160","101","207"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","13","27","15","26"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","3","4","3","4"
"Department of Defense","Agency Overall","2020","56524","54023","54545","50006"
"Environmental Protection Agency","Agency Overall","2020","8869","6891","9525","7665"
"Federal Housing Finance Agency","Agency Overall","2020","149","120","139","116"
"National Council on Disability","Agency Overall","2020","12","15","11","16"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","23","29","20","27"
"U.S. Agency for Global Media","Agency Overall","2020","63","60","74","28"
"Farm Credit System Insurance Corporation","Agency Overall","2020","4","11","4","11"
"National Endowment for the Humanities","Agency Overall","2020","54","137","54","131"
"All agencies","Agency Overall","2020","854849","790688","875153","772869"
