"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","9","9","9","9","73","73","73","73","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2020","52","84.95","<1","943","96","237.89","<1","2025","15","53.65","<1","799"
"Office of Special Counsel","Agency Overall","2020","28","51.94","1","235","179","206.36","1","598","4","10","1","15"
"Federal Maritime Commission","Agency Overall","2020","N/A","N/A","N/A","N/A","46","50.9","21","99","N/A","N/A","N/A","N/A"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2020","5","13.18","<1","640","1118","1037","650","1343","138","141.4","30","310"
"Department of Transportation","Agency Overall","2020","17","53.4","<1","1608","61","162.75","1","2359","2.5","2.5","1","4"
"Department of the Interior","Agency Overall","2020","26.0","81.66","<1","1115","107.0","194.79","<1","1318","22.0","73.24","<1","431"
"United States International Trade Commission","Agency Overall","2020","20","19","13","20","30","30","30","30","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2020","16","33.6","<1","1060","51","70.8","<1","1972","23","105.2","1","903"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","22","28","9","123","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Denali Commission","Agency Overall","2020","3","7","1","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2020","4","7","2","23","48","47","26","88","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2020","19.5","19.5","3","36","70","112.02","1","925","1","1","1","1"
"National Archives and Records Administration","Agency Overall","2020","7","126","1","2266","525","809","1","4987","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2020","11","11.39","<1","72","98.5","102.33","<1","1082","14.5","60.07","<1","388"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","3","4.1","1","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","66","66","20","113","1077","1077","847","1306","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2020","5","5.6","5","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Labor Relations Board","Agency Overall","2020","10.0","19.22","<1","370","N/A","N/A","N/A","N/A","4.0","10.27","<1","177"
"Department of the Treasury","Agency Overall","2020","2","13","<1","695","20","53","<1","2441","31","123","5","756"
"U.S. Railroad Retirement Board","Agency Overall","2020","28","71.82","<1","1357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2020","17","17","17","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2020","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2020","73","86","<1","217","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2020","19","25","1","130","103","104","17","254","32","42","20","68"
"Occupational Safety and Health Review Commission","Agency Overall","2020","8","8.97","2","20","30.5","31.25","29","35","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","25.5","24.25","<1","47","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2020","1","1.69","<1","16","6","194.43","<1","1823","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2020","16","14.75","<1","31","44","55.57","14","256","7","36.66","2","179"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","16","16.8","1","48","64.5","75.2","29","154","19","19","19","19"
"Department of Commerce","Agency Overall","2020","12.5","49.86","<1","876","26.5","140.69","<1","2062","7","52.51","<1","549"
"Office of National Drug Control Policy","Agency Overall","2020","16","16","1","20","187","216","23","505","0","0","0","0"
"National Credit Union Administration","Agency Overall","2020","10","9.96","<1","20","29","27.93","1","103","1.50","1.50","1","2"
"United States Copyright Office","Agency Overall","2020","21","21","20","22","719.5","719.5","564","875","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","15","12","1","21","271.5","388.5","2","1179","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","<1","4.7","<1","55","19","20.6","4","45","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","7.5","7.5","5","5","140","140","49","231","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2020","5","5","5","5","1453","1453","1453","1453","N/A","N/A","N/A","N/A"
"U.S. International Development Finance Corporation","Agency Overall","2020","2","14.86","<1","64","140","109.33","46","142","97","97","97","97"
"United States Postal Service","Agency Overall","2020","14","15.03","<1","112","29","47.14","<1","426","6","8.86","2","20"
"Small Business Administration","Agency Overall","2020","18","19.58","1","156","N/A","N/A","N/A","N/A","7","14.3","1","46"
"Appraisal Subcommittee","Agency Overall","2020","3","3","3","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2020","5","5.5","1","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2020","5","14","1","310","84","103","2","497","N/A","N/A","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2020","7","7","7","7","87","87","40","135","N/A","N/A","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","1","2.5","1","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2020","2","3.9","1","10","2","3.9","1","10","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2020","20.5","137.09","<1","935","584.5","561.39","8","1362","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2020","45","99","1","384","N/A","N/A","N/A","N/A","492","346.2","72","507"
"Office of Management and Budget","Agency Overall","2020","47","76","2","227","541","498","116","866","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2020","6","8.2","<1","20","N/A","N/A","N/A","N/A","3","3","3","3"
"National Science Foundation","Agency Overall","2020","20","59","<1","608","48","97","2","816","N/A","N/A","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2020","2","5.88","<1","53","84","294.94","3","1174","1419","1419","1419","1419"
"United States Institute of Peace","Agency Overall","2020","36","32","15","41","39","39","39","39","n/a","n/a","N/A","N/A"
"Social Security Advisory Board","Agency Overall","2020","5","7.5","1","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2020","29","60.06","6","510","369.50","330.58","27","595","N/A","N/A","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2020","4","4","<1","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2020","11","216.07","1","784","72.5","164.32","1","944","5.5","45.2","1","184"
"U.S. Election Assistance Commission","Agency Overall","2020","24","43","2","152","132","125","106","137","80","80","47","112"
"Millennium Challenge Corporation","Agency Overall","2020","100","162","1","448","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2020","10.5","10.2","7","15","27","31","10","60","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2020","12","35.7","3","289","164","300.3","10","1499","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2020","11.61","22.81","<1","1360","42.05","115.03","<1","1813","87.29","68.37","<1","1460"
"Central Intelligence Agency","Agency Overall","2020","4.5","8.42","<1","75","373","584.57","<1","3043","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2020","1","3.16","1","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","14","21","1","92","N/A","N/A","N/A","N/A","29","29","29","29"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","17","15","10","60","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2020","4","6.61","<1","161","18.5","39.19","1","530","4","31","<1","207"
"United States African Development Foundation","Agency Overall","2020","10","6","1","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","12","18","3","35","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2020","57","107.35","<1","947","111","206.63","2","1913","29.50","29.50","14","45"
"Department of Housing and Urban Development","Agency Overall","2020","18.00","41.63","<1","698","57.00","20.374","<1","1517","8.50","9.25","5","16"
"U.S. Agency for International Development","Agency Overall","2020","414","414","414","414","194","328.89","1","1239","60","66.67","20","120"
"Department of Veterans Affairs","Agency Overall","2020","11","31.81","<1","1020","47","121.03","<1","1899","15.5","122.91","<1","820"
"U.S. Department of State","Agency Overall","2020","186","276.77","5","2725","379","379","5","3329","269","596.87","4","2704"
"Court Services and Offender Supervision Agency","Agency Overall","2020","1","2","1","17","16","13","1","20","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2020","8","9.07","2","20","727","663.25","132","1068","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2020","17","17","1","26","33","41","31","58","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2020","11","19.58","<1","797","26","31.47","<1","340","30","25","15","30"
"Export-Import Bank of the U.S.","Agency Overall","2020","9","36","<1","377","272","341","3","1100","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2020","1","1.9","1","1510","35","98","1","616","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2020","16","39","1","602","20","40.3","1","1895","11","19.8","1","125"
"Federal Mediation and Conciliation Service","Agency Overall","2020","3.5","4.3","1","6","8","10.09","<1","28","2","2","2","2"
"Federal Deposit Insurance Corporation","Agency Overall","2020","8","10.16","<1","34","17","21.4","1","126","16","12","3","17"
"National Aeronautics and Space Administration","Agency Overall","2020","10","15.62","<1","183","29","39.95","<1","346","N/A","N/A","N/A","N/A"
"Advisory Council on Historic Preservation","Agency Overall","2020","2","41","1","197","20","88","1","423","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2020","20","26.7","19","66","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","20","20","20","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2020","34.5","105.64","<1","916","25","96.75","18","627","N/A","N/A","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","N/A","N/A","N/A","N/A","30","20.5","1","30","N/A","N/A","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","1","3.5","1","11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2020","9","33.03","1","1075","92","193.515151515152","1","3603","18","143.1","1","894"
"Environmental Protection Agency","Agency Overall","2020","12","70.67","<1","1142","78","203.76","<1","2073","685","527.24","2","822"
"Federal Housing Finance Agency","Agency Overall","2020","11.00","12.39","<1","29","129.00","260.38","5","1229","N/A","N/A","N/A","N/A"
"National Council on Disability","Agency Overall","2020","11","12.3","9","17","18","18","18","18","17","15.3","11","18"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","8","8","3","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2020","74","141","4","466","N/A","N/A","N/A","N/A","6.5","6.5","5","8"
"Farm Credit System Insurance Corporation","Agency Overall","2020","2","5","<1","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2020","6","8.9","0","21","37","49.5","22","128","N/A","N/A","N/A","N/A"
